entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
LOC1053900,place,STED-REGISTER,Region,,,Kurland,Letland,,,,,
LOC1053950,place,STED-REGISTER,City,,,Kuttenberg,Tjekkiet,,,,,
LOC1054000,place,STED-REGISTER,City,,,Kværndrup,Danmark,,,,,
LOC1054050,place,STED-REGISTER,City,,,Kyritz,Tyskland,,,,,
LOC1054100,place,STED-REGISTER,City,,,Küssnacht am Rigi,Schweiz,,,,,
LOC1054150,place,STED-REGISTER,City,,,Küstendil,Bulgarien,,,,,
LOC1054200,place,STED-REGISTER,City,,,Küstendje (Costanta),Rumænien,,,,,
LOC1054250,place,STED-REGISTER,Property,,,Källtorp,Sverige,,,,,
LOC1054300,place,STED-REGISTER,Region,,,Kärra,Sverige,,,,,
LOC1054350,place,STED-REGISTER,City,,,København,Danmark,,,,,
LOC1054400,place,STED-REGISTER,City,,,Køge,Danmark,,,,,
LOC1054450,place,STED-REGISTER,Sea,,,Køge Bugt,Danmark,,,,,
LOC1054500,place,STED-REGISTER,City,,,Köln,Tyskland,,,,,
LOC1054550,place,STED-REGISTER,Region,,,Kölva,Sverige,,,,,
LOC1054600,place,STED-REGISTER,City,,,Køng,Danmark,,,,,
LOC1054650,place,STED-REGISTER,City,,,Königerode,Tyskland,,,,,
LOC1054700,place,STED-REGISTER,City,,,Königsberg,Rusland,,,,,
LOC1054750,place,STED-REGISTER,Point of interest (POI),,,Königsplatz,Tyskland,,,,,
LOC1054800,place,STED-REGISTER,City,,,Königstein,Tyskland,,,,,
LOC1054850,place,STED-REGISTER,City,,,Köping,Sverige,,,,,
LOC1054900,place,STED-REGISTER,City,,,"Kösen, Bad",Tyskland,,,,,
LOC1054950,place,STED-REGISTER,Property,,,Köthen,Tyskland,,,,,
LOC1055000,place,STED-REGISTER,City,,,Laca,Italien,,,,,
LOC1055050,place,STED-REGISTER,City,,,Lachen,Schweiz,,,,,
LOC1055100,place,STED-REGISTER,Lake,,,Ladegaardsøen (ved Christiania),Norge,,,,,
