v094_id,legacy_id,entity_type,label,resolves
WOR011650,Reg001160,work,Engelske - Fairy Tales. Illustrated by twelve large designs in colour by E. V. B. [Ͻ: the Hon. Mrs. Boyle]. Newly tr. by H. L. D. Ward and Augusta Plesner (1872 Ͻ: 1871),yes
WOR011700,Reg001161,work,"Engelske - Hans Andersen's Good Wishes for Children, interpreted by A. A. B. and S. G. P. [Ͻ: Alice A. Bigelow og Sally G. Putnam]. (New York 1873)",yes
WOR011750,Reg001360,work,"Franske - Contes d' Andersen, traduits du danois par D. Soldi, avec une notice biographique par X. Marmier et 40 vignettes par Bertall (1856)",yes
WOR011800,Reg001362,work,Franske - Deux contes [Le scarabée. Le papilIon]. (Tiré de la Bibliothèque Universelle . . . Imité du danois [par] Jules F.-U. Jurgensenl [1861].,yes
WOR011850,Reg001363,work,Franske - Fantaisies danoises (Tr. par Jules F.-U. Jurgensen). (Genève 1861),yes
WOR011900,Reg001366,work,Franske - Nouveaux contes. Traduits par Soldi. (1862),yes
WOR011950,Reg001361,work,Franske - Contes danois. Traduits pour la première fois par Ernest Grégoire et Louis Moland. III. d'après les dessins de Yan' Dargent. (1873),yes
WOR012000,Reg001365,work,Franske - Nouveaux contes. Traduits par Louis Demouceaux. (1874),yes
WOR012050,Reg001364,work,Franske - Nouveaux contes. La vierge des glaciers. Ib et la petite Christine [etc. etc]. . . . Traduction de Grégoire et L. Moland. Illustrations de Yan' Dargent (1874),yes
WOR012100,Reg001623,work,Hollandske - Nieuwe vertellingen. Uit het Deensch vertaald door J. L. D. Nepveu (1847),yes
WOR012150,Reg001625,work,"Hollandske - Verzamelte vertellingen en sproken. Volledige uitgave, door den schrijver zelven bezorgd. Naar de zesde Hoogduitsche uitgave door C. de Jong. Tweede druk. (Utrecht 1859)",yes
WOR012200,Reg001624,work,Hollandske - Sprookjes en verhalen. In dichtmaat naverteld door J. J. L. ten Kate (1868),yes
WOR012250,Reg001622,work,Hollandske - De Dryade. Naar het Deensch door C. J. N. Nieuwenhuis (Utrecht 1869),yes
WOR012300,Reg003385,work,Ungarsk - Meséi. Fordította Szendrey Júlia. [Eventyr. Oversat af Julia Szendrey] (1858),yes
WOR012350,Reg002861,work,"Russisk - Polnoe sobranie skazok Andersena, s 117-ju gravirovannymi politipažami. Izdanie vtoroe Trubnikovoj i Stasovoj. (Petersburg 1867)",yes
WOR012400,Reg002566,work,Nygræsk - Paramythia Danika [Oversat af D. Bikélas],yes
WOR012450,Reg000331,work,"Bengali. - Maaske: Bengali Family Library [Lille Claus og Store Claus, Paradisets Have, Historien om en Moder, De vilde Svaner] (Calcutta 1857-58)",yes
WOR012500,Reg000338,work,"Bernstorff, Grevinde",yes
WOR012550,Reg000353,work,"Bigelow, Alice A.",yes
WOR012600,Reg000354,work,"Bikélas, Demitrios",yes
WOR012650,Reg000418,work,"Bushby, Anne",yes
WOR012700,Reg000556,work,"Cronholm, Bernhard",yes
WOR012750,Reg000668,work,"Demouceaux, Louis",yes
WOR012800,Reg001494,work,"Grégoire, Ernest",yes
WOR012850,Reg001546,work,"Heinke, Clara",yes
WOR012900,Reg001880,work,"Kate, J. J. L. ten",yes
WOR012950,Reg002501,work,"Nepveu, J. L. D.",yes
WOR013000,Reg002510,work,"Nieuwenhuis, C. J. N.",yes
WOR013050,Reg002691,work,"Pio, Jean",yes
WOR013100,Reg002696,work,"Plesner, Augusta",yes
