01_Posttype	02_by_Andersen	03_genre	04_main_title	05_original_title	06_creator	07_part_of	08_Se_ogsaa	09_Krydshenvisning_til	10_cited_directly	11_Note	12_adapted_from_creator	RegistryTitelID
standardpost	False	NovelsPlaysTales	Les Soupers de carneval		Charles Varin; F. A. Duvert; Paul de Kock				True			Reg002134
standardpost	False	NovelsPlaysTales	Sourde-oreille						True	6.5.1843, Théâtre Comte, Paris		Reg003068
standardpost	False	NovelsPlaysTales	Sous clé		A. De Forges; Dumanoir; A. de Leuven				True			Reg003069
standardpost	False	NovelsPlaysTales	Spanisches Theater		A. W. Schlegel				True			Reg003075
standardpost	False	NovelsPlaysTales	Sparekassen		H. Hertz				True			Reg003077
standardpost	False	NovelsPlaysTales	Spionen af den fornemme Verden		Th. Andersen				True		de Saint-Georges’	Reg003082
standardpost	False	NovelsPlaysTales	Språkmästaren	Sproglæreren	Thomasine Gyllembourg				True			Reg003085
standardpost	False	NovelsPlaysTales	En Spurv i Tranedands		C. Hostrup				True			Reg001119
standardpost	False	NovelsPlaysTales	Spøg ikke dermed!		Benedicte Arnesen Kall				True		Calderón	Reg003087
standardpost	False	NovelsPlaysTales	Staberls Reise durch die Luft		A. Bäuerle				True			Reg003093
standardpost	False	NovelsPlaysTales	Staberls Reiseabenteuer		A. Bäuerle				True			Reg003094
standardpost	False	NovelsPlaysTales	Statsmand og Borger		E. Scribe				True			Reg003099
standardpost	False	NovelsPlaysTales	Stevnemødet i Ermelunden		Erik Bøgh				True		Dumanoir	Reg003104
standardpost	False	NovelsPlaysTales	Stormen		W. Shakespeare		The Tempest		True			Reg003112
standardpost	False	NovelsPlaysTales	Stradella		J. Davidsen				True		det franske	Reg003116
standardpost	False	NovelsPlaysTales	Der Streichmacher		Karl Meisl				True			Reg000811
standardpost	False	NovelsPlaysTales	Struensee		Heinrich Laube				True			Reg003120
standardpost	False	NovelsPlaysTales	Struensee		H. J. Schimmel				True			Reg003119
standardpost	False	NovelsPlaysTales	Stuen og første Sal		J. N. Nestroy				True			Reg003127
standardpost	False	NovelsPlaysTales	Den Stundesløse		L. Holberg				True			Reg000682
standardpost	False	NovelsPlaysTales	Stærkodder		A. Oehlenschlæger				True			Reg003128
standardpost	False	NovelsPlaysTales	Le Succès		F. A. Harel				True			Reg002089
krydshenvisning	False	NovelsPlaysTales	La Suite du Michel et Christine					Le Retour	True			Reg002006
standardpost	False	NovelsPlaysTales	Sullivan		Mélesville				True			Reg003129
standardpost	False	NovelsPlaysTales	Svanehammen		H. Hertz				True			Reg003138
standardpost	False	NovelsPlaysTales	Et Svar		J. Krohn				True			Reg001215
standardpost	False	NovelsPlaysTales	Svend Dyrings Huus		H. Hertz				True			Reg003140
standardpost	False	NovelsPlaysTales	Svogeren fra Californien		H. Hertz				True			Reg003146
standardpost	False	NovelsPlaysTales	Swenska Sprätthöken		Karl Gyllenborg				True			Reg003147
standardpost	False	NovelsPlaysTales	Sylvesternat		Charlotte Birch-Pfeiffer				True			Reg003149
standardpost	False	NovelsPlaysTales	Syv militaire Piger		L. Angely				True		Francis, Armand og Théaulon	Reg003157
standardpost	False	NovelsPlaysTales	Syvsoverdag		J. L. Heiberg				True			Reg003158
standardpost	False	NovelsPlaysTales	En Søndag paa Amager		Johanne Luise Heiberg				True			Reg001124
standardpost	False	NovelsPlaysTales	Søstrene paa Kinnekullen		C. Hauch				True			Reg003173
standardpost	False	NovelsPlaysTales	T. F. oder der Enthusiast		L. M. Erich				True			Reg003178
standardpost	False	NovelsPlaysTales	Ein Tag Carl Stuart des Zweiten		J. B. Zahlhas				True			Reg001031
standardpost	False	NovelsPlaysTales	Der Tagesbefehl		Karl Töpfer				True			Reg000812
standardpost	False	NovelsPlaysTales	Tak!		Erik Bøgh				True			Reg003180
standardpost	False	NovelsPlaysTales	Der Talisman		J. N. Nestroy				True			Reg000813
standardpost	False	NovelsPlaysTales	En Tantes Ideer		Henri Nicolle				True			Reg001125
standardpost	False	NovelsPlaysTales	Tanto vales cuanto tienes		Ángel de Saavedra, Hertug af Rivas				True			Reg003188
standardpost	False	NovelsPlaysTales	Tartuffe		Molière				True			Reg003190
standardpost	False	NovelsPlaysTales	Das Taschenbuch		A. von Kotzebue				True			Reg000609
standardpost	False	NovelsPlaysTales	Une Tasse du thé		Charles Nuitter; Joseph Derley				True			Reg003382
standardpost	False	NovelsPlaysTales	The Tempest		W. Shakespeare		Stormen		True			Reg003229
standardpost	False	NovelsPlaysTales	Tempora mutantur, oder Die gestrengen Herren		Karl Blum				True			Reg003197
standardpost	False	NovelsPlaysTales	Ho thanatos tou Markou Botzare		Theodoras Alkaios				True			Reg001614
standardpost	False	NovelsPlaysTales	Théâtre complet		Alfred de Vigny				True			Reg003244
standardpost	False	NovelsPlaysTales	Thomas Thyrnau		Charlotte Birch-Pfeiffer				True			Reg003234
standardpost	False	NovelsPlaysTales	Tiderne skifte		Fr. Paludan-Müller				True			Reg003249
standardpost	False	NovelsPlaysTales	Til Sæters		C. P. Riis				True			Reg003263
standardpost	False	NovelsPlaysTales	De to Armringe	= Landet fundet og forsvundet, 1. Akt	A. Oehlenschlæger				True			Reg000653
standardpost	False	NovelsPlaysTales	To Cousiner		E. F. Koch				True			Reg003279
standardpost	False	NovelsPlaysTales	To Søstre		Ilia Fibiger				True			Reg003286
standardpost	False	NovelsPlaysTales	To Tidsaldre eller Prindsessen i den sovende Skov		Octave Feuillet				True			Reg003287
standardpost	False	NovelsPlaysTales	Tonietta		H. Hertz				True			Reg003292
standardpost	False	NovelsPlaysTales	Tordenskjold i Marstrand		Carit Etlar				True			Reg003295
standardpost	False	NovelsPlaysTales	Tordenveir		C. Hostrup				True			Reg003296
standardpost	False	NovelsPlaysTales	Touboulic-le-Cruel		A. Decomberousse				True			Reg003304
standardpost	False	NovelsPlaysTales	Le Tour de Nesle		A. Dumas père				True			Reg002090
standardpost	False	NovelsPlaysTales	En Tour til Armeen		H. P. Holst				True			Reg001128
standardpost	False	NovelsPlaysTales	Touristen i Nordsjælland		Studenterforestilling 4.4.1868 i Casino				True			Reg003305
standardpost	False	NovelsPlaysTales	Il tratto						True	18.2.1841, Teatro Aliberti, Rom		Reg001722
standardpost	False	NovelsPlaysTales	Das Trauerspiel in Tirol		K. Immermann				True			Reg000610
standardpost	False	NovelsPlaysTales	Tre Dage i Padua		H. Hertz				True			Reg003310
standardpost	False	NovelsPlaysTales	De tre Musketerer		M. W. Brun				True			Reg000659
standardpost	False	NovelsPlaysTales	l tre negozianti da ligne						True	4.3.1841, Teatro Carlino, Napoli		Reg003585
standardpost	False	NovelsPlaysTales	De tre Policineller		Le tre pulcinelle				True	7.1.1841, Teatro della Pace, Rom		Reg000660
standardpost	False	NovelsPlaysTales	Den trekantede Hat		Villiam Faber				True			Reg000762
standardpost	False	NovelsPlaysTales	Les trois Catherines		Paul Duport				True			Reg002137
standardpost	False	NovelsPlaysTales	Turandot		Carlo Gozzi				True			Reg003334
standardpost	False	NovelsPlaysTales	Tycho Brahes Ungdom		C. Hauch				True			Reg003338
standardpost	False	NovelsPlaysTales	Et ubekjendt Mesterværk		Charles Lafont				True			Reg001222
standardpost	False	NovelsPlaysTales	Ude og hjemme		Bayard; de Wailly				True			Reg003355
standardpost	False	NovelsPlaysTales	Uden Hoved og Hale		L. Holberg				True			Reg003357
standardpost	False	NovelsPlaysTales	Ulysses von Ithacia		L. Holberg				True			Reg003371
standardpost	False	NovelsPlaysTales	Uncle John		John Baldwin Buckstone				True			Reg003376
standardpost	False	NovelsPlaysTales	Under Revolutionen		Paul Marcussen				True		Alex. Dumas og Maquct	Reg003378
standardpost	False	NovelsPlaysTales	En ung flickas dagbok		Eugene Cormon; Grangé				True			Reg001143
standardpost	False	NovelsPlaysTales	Unge Mennesker		Léon Laya				True			Reg003387
standardpost	False	NovelsPlaysTales	De Unges Forbund		H. Ibsen				True			Reg000627
standardpost	False	NovelsPlaysTales	De Usynlige		L. Holberg				True			Reg000628
standardpost	False	NovelsPlaysTales	Val och qval		P. Siraudin; Th. de Langeac				True			Reg003393
standardpost	False	NovelsPlaysTales	Valbygaasen		Erik Bøgh				True			Reg003394
standardpost	False	NovelsPlaysTales	Die Valentine		Gustav Freytag				True			Reg000916
standardpost	False	NovelsPlaysTales	Valérie		E. Scribe; Mélesville				True			Reg003403
standardpost	False	NovelsPlaysTales	Valeur & Compagnie		Bayard; Devorme				True			Reg003396
standardpost	False	NovelsPlaysTales	Valgerda		J. L. Heiberg				True			Reg003398
standardpost	False	NovelsPlaysTales	Ved Dannevirke		H. P. Holst				True			Reg003409
standardpost	False	NovelsPlaysTales	La Vendetta		Ph. Fr. P. Dumanoir; Paul Siraudin				True			Reg002008
standardpost	False	NovelsPlaysTales	Verbrechen aus Ehrsucht		A. W. Iffland				True			Reg003440
standardpost	False	NovelsPlaysTales	Vermländingarne		Frederik August Dahlgren				True			Reg003443
standardpost	False	NovelsPlaysTales	Une Verre d'eau		E. Scribe		Et Glas Vand		True			Reg003383
standardpost	False	NovelsPlaysTales	Der Verschwender		Ferd. Raimund				True			Reg000817
standardpost	False	NovelsPlaysTales	Der verwünschene Prinz		A. Bäuerle				True			Reg000836
standardpost	False	NovelsPlaysTales	Die verwünschte Prinzessin		Gustav Räder				True			Reg000933
standardpost	False	NovelsPlaysTales	Et Vidunder		P. Chievitz; A. Recke				True		Varin og de Biéville	Reg001216
standardpost	False	NovelsPlaysTales	Viel Lärmen um nichts	Much Ado about Nothing	W. Shakespeare				True			Reg003452
standardpost	False	NovelsPlaysTales	Et Vinter-Eventyr		W. Shakespeare				True			Reg001217
standardpost	False	NovelsPlaysTales	Viola oder Was lhr wollt	Twelfth-Night	W. Shakespeare				True			Reg003460
standardpost	False	NovelsPlaysTales	Voilà la chose		Ernest Blum; Alex. Flan				True			Reg003467
standardpost	False	NovelsPlaysTales	Die Vorleserin	La lectrice	J. F. A. Bayard				True			Reg000917
standardpost	False	NovelsPlaysTales	Eine vornehme Ehe		Octave Feuillet				True			Reg001037
standardpost	False	NovelsPlaysTales	Der Vorsatz		Franz von Holbein				True			Reg000818
standardpost	False	NovelsPlaysTales	Voyage entre ciel et terre		Felix-Auguste Duvert; Augustin; Théodore Lauzanne de Vauroussel; Paul Duport				True			Reg003475
standardpost	False	NovelsPlaysTales	De Vrouwe van Waardenburg		Jacob van Lennep				True			Reg000630
standardpost	False	NovelsPlaysTales	De Vrouwenhoeden		J. Both J. Jzn.				True		det Franske	Reg000631
standardpost	False	NovelsPlaysTales	Den Vægelsindede		L. Holberg				True			Reg000684
standardpost	False	NovelsPlaysTales	Væringerne i Miklagard		A. Oehlenschlæger				True			Reg003477
standardpost	False	NovelsPlaysTales	Le Wagon des dames		Clairville; O. Gastineau				True			Reg002092
standardpost	False	NovelsPlaysTales	Die Waise aus Lowood		Charlotte Birch-Pfeiffer				True			Reg000918
standardpost	False	NovelsPlaysTales	Wallenstein		Fr. von Schiller				True			Reg003481
standardpost	False	NovelsPlaysTales	Wallensteins Lager		Fr. von Schiller				True			Reg003482
standardpost	False	NovelsPlaysTales	Wallensteins Tod		Fr. von Schiller				True			Reg003483
krydshenvisning	False	NovelsPlaysTales	Was Ihr wollt (W. Shakespeare)					Viola	True			Reg003488
standardpost	False	NovelsPlaysTales	Der Weiberfeind		R. Benedix				True			Reg000822
standardpost	False	NovelsPlaysTales	Die weisse Pekésche		Karl Töpfer				True			Reg000934
standardpost	False	NovelsPlaysTales	Ein weisser Othello	Un Tigre de Bengale	Wilh. Friedrich				True		Ed. Brisebarre	Reg001035
standardpost	False	NovelsPlaysTales	Wer iszt mit?		W. Friedrich				True		Desaugiers	Reg003494
standardpost	False	NovelsPlaysTales	Werner oder Herz und Welt		Karl Gutzkow				True			Reg003496
standardpost	False	NovelsPlaysTales	Der Widerspenstigen Zähmung	Taming of the Shrew	W. Shakespeare				True			Reg000823
standardpost	False	NovelsPlaysTales	Die Wiener in Berlin		Karl von Holtei				True			Reg000919
standardpost	False	NovelsPlaysTales	Die Wiener in Paris		Karl von Holtei				True			Reg000920
standardpost	False	NovelsPlaysTales	Wilhelm Tell		Fr. von Schiller				True			Reg003504
standardpost	False	NovelsPlaysTales	William Shakespeare		C. J. Boye				True			Reg003509
standardpost	False	NovelsPlaysTales	Über allen Zauber Liebe		Calderón de la Barca				True			Reg003703
standardpost	False	NovelsPlaysTales	Yelva		Scribe; de Villeneuve; Desvergers				True			Reg003516
standardpost	False	NovelsPlaysTales	Den Yngste		H. Hertz				True			Reg000685
standardpost	False	NovelsPlaysTales	Yrsa		A. Oehlenschlæger				True			Reg003517
standardpost	False	NovelsPlaysTales	Zar Fedor Iwanowitsch		Alexej Tolstoj				True			Reg003520
standardpost	False	NovelsPlaysTales	Zopf und Schwert		Karl Gutzkow				True			Reg003530
standardpost	False	NovelsPlaysTales	Der Zunftmeister von Nürnberg		Oskar Redwitz				True			Reg000826
standardpost	False	NovelsPlaysTales	Die zwei Ärzte		Alexander Baumann				True			Reg000935
standardpost	False	NovelsPlaysTales	Ægteskabspolitik		A. Thornam				True			Reg003687
standardpost	False	NovelsPlaysTales	Ørkenens Søn		Fr. Halm		Der Sohn der Wildnis		True			Reg003700
standardpost	False	NovelsPlaysTales	Østergade og Vestergade		Th. Overskou				True			Reg003702
standardpost	False	NovelsPlaysTales	A Trambiâch'l kaffa?		J.G. Seidl				True	Tekst		Reg000125
standardpost	False	NovelsPlaysTales	Abels Død		Fr. Paludan-Müller				True			Reg000140
standardpost	False	NovelsPlaysTales	»Ack, du min moder -«	Fredmans Epistel nr. 23	C.M. Bellman				True			Reg003592
standardpost	False	NovelsPlaysTales	Adam Homo - Første Deel:		Fr.Paludan-Müller				True			Reg000148
standardpost	False	NovelsPlaysTales	Adonis		Fr. Paludan-Müller				True			Reg000154
krydshenvisning	False	NovelsPlaysTales	Adonis (Shakespeare)					Venus and Adonis	True			Reg000155
standardpost	False	NovelsPlaysTales	Aftenridt		Anonymt Digt; For Romantik; Historie 1874				True			Reg000166
standardpost	False	NovelsPlaysTales	Agnete og Havmanden		Folkevise				True			Reg000170
standardpost	False	NovelsPlaysTales	Album poétique		Henri Blanvalet				True			Reg000183
standardpost	False	NovelsPlaysTales	Allemannische Gedichte		J. P. Hebel				True			Reg000194
standardpost	False	NovelsPlaysTales	Als sie starb		I. F. Castelli				True			Reg000200
standardpost	False	NovelsPlaysTales	Altschottische und altenglische Volksballaden		W. Von Dönniges				True			Reg000206
standardpost	False	NovelsPlaysTales	Anm Schillertage		Emanuel Geibel				True			Reg000228
standardpost	False	NovelsPlaysTales	Amaranth		Oscar von Redwitz				True			Reg000208
standardpost	False	NovelsPlaysTales	Amor als Landschaftsmaler		J. W. von Goethe				True			Reg000212
standardpost	False	NovelsPlaysTales	Amor, der blinde Passagier	Heimkehr, LXVII	H. Heine				True			Reg000217
standardpost	False	NovelsPlaysTales	Amors Vinger		F. L. Høedt				True			Reg000220
standardpost	False	NovelsPlaysTales	An die Freude		Fr. von Schiller				True			Reg000224
standardpost	False	NovelsPlaysTales	Andreas und Marfa		F. M. Bodenstedt				True			Reg000226
standardpost	False	NovelsPlaysTales	I'Ange et l'enfant		Jean Reboul				True			Reg001706
standardpost	False	NovelsPlaysTales	Ann' Marie		Michael Rosing				True			Reg000230
standardpost	False	NovelsPlaysTales	Arnljot Gelline		Bj. Bjørnson				True			Reg000265
standardpost	False	NovelsPlaysTales	Atta Troll		H. Heine				True			Reg000275
standardpost	False	NovelsPlaysTales	Auf den Tod eines reichen Biedermannes, meines unvergesslichen Freundes		I. F. Castelli				True			Reg000277
standardpost	False	NovelsPlaysTales	Bacchus		Bernhard Wolff				True			Reg000289
standardpost	False	NovelsPlaysTales	Barnligheten	»Lilla Clara, förebrå ej mig -«	Michael Choræus				True			Reg000314
standardpost	False	NovelsPlaysTales	Beatrice		Fr. Paludan-Müller				True			Reg000317
standardpost	False	NovelsPlaysTales	Det befriede Jerusalem		Torquato Tasso				True			Reg000843
standardpost	False	NovelsPlaysTales	Bluettes et boutades		J. Petit-Senn				True			Reg000369
standardpost	False	NovelsPlaysTales	Het Boek Job		J. J. L. ten Kate				True			Reg001587
standardpost	False	NovelsPlaysTales	[Bønskrift til Kejser Franz om at beholde Hatten paa, naar Folk hilser ham paa Gaden]		I. F. Castelli				True			Reg003534
standardpost	False	NovelsPlaysTales	Cantate ved Christopher Sødring og Julie Sødring, f. Rosenkildes Sølvbryllupsfest		Nicolaj Bøgh				True			Reg000443
standardpost	False	NovelsPlaysTales	Cantate ved Indvielsen af Studenterforeningsbygningen		Chr. Richardt				True			Reg000445
standardpost	False	NovelsPlaysTales	Chants populaires du Nord		Xavier Marmier				True			Reg000470
standardpost	False	NovelsPlaysTales	Childe Harold's Pilgrimage [Ͻ: Ritter Harolds Pilgerfahrt, übers, v. Zedlitz]		Byron				True			Reg000475
standardpost	False	NovelsPlaysTales	Dania. Eine Auswahl dänischer Gedichte im Versmasse der Originale übersetzt von Emanuel Bendix. Zweite Auflage. Berlin 1875						True			Reg000569
standardpost	False	NovelsPlaysTales	»De oudheid verhaalt ons van menschen, wier zielen -«		J. P. Hasebroek	Nieuwe Winde-Kelken			True			Reg003607
inferred_container	False	NovelsPlaysTales	Nieuwe Winde-Kelken		J. P. Hasebroek				False			
standardpost	False	NovelsPlaysTales	»Deilig er Jorden -«		B. S. Ingemann				True			Reg003608
standardpost	False	NovelsPlaysTales	»Den Wåg här rusar fram, till ärestod du får -«		B. Lidner				True	Tekst		Reg003610
standardpost	False	NovelsPlaysTales	»Der er et yndigt Land -«		A. Oehlenschlæger				True			Reg003614
standardpost	False	NovelsPlaysTales	Des Deutschen Vaterland	»Was ist dem Deutschen Vaterland?«	Ernst Moritz Arndt				True			Reg000838
standardpost	False	NovelsPlaysTales	Dichtungen . Nach dem Ungarischen, in eigenen wie fremden Uebersetzungcn gesammelt von K. M. Kertbeny		Alex. Petöfi				True			Reg000864
standardpost	False	NovelsPlaysTales	Dichtungen		J. G. Seidl				True	1844		Reg000863
standardpost	False	NovelsPlaysTales	Digte af Jens Baggesen. I et Udvalg samlede og udgivne af August Baggesen						True			Reg000940
standardpost	False	NovelsPlaysTales	[Digte af Ernst von Beaulieu-Marconnay]						True			Reg003544
standardpost	False	NovelsPlaysTales	Digte		Chr. Ulrich Deichmann				True			Reg000938
standardpost	False	NovelsPlaysTales	Digteren Hr. Etatsraad H.C. Andersens eget Eventyr, ved Festen i Odense d. 6. December 1867 i 5 Sange af P		Peter E. Petersen				True			Reg000943
standardpost	False	NovelsPlaysTales	La Divina Commedia		Dante				True			Reg001979
standardpost	False	NovelsPlaysTales	Drei Tage und drei Farben		Karl Simrock				True			Reg000987
krydshenvisning	False	NovelsPlaysTales	Det døende Barn (Jean Reboul)					I'Ange et l'enfant	True			Reg000847
standardpost	False	NovelsPlaysTales	»Ein Bächlein war es und wurde ein Strom -«		Benedikt Morel				True	Tekst		Reg003621
standardpost	False	NovelsPlaysTales	Eleonore. Ein Lebensbild		Eugène Peschier				True			Reg001047
standardpost	False	NovelsPlaysTales	Elverkongen og Jomfruen		M. Rosing				True			Reg001056
standardpost	False	NovelsPlaysTales	»Enge wohnte man sonst, weit war es aber im Herzen -«		Schneer, Nürnberg				True	Tekst		Reg003622
standardpost	False	NovelsPlaysTales	Erzählende Dichtungen		Alexander Petöfi				True			Reg001187
standardpost	False	NovelsPlaysTales	»Es ist eine seltsame Sache -«		I. F. Castelli				True			Reg003624
standardpost	False	NovelsPlaysTales	Eva Homo		Oluf Lundt Bang				True			Reg001231
standardpost	False	NovelsPlaysTales	Eva Homo - 2. forøgede Udg		Oluf Lundt Bang				True			Reg001232
standardpost	False	NovelsPlaysTales	Fabeln und Erzählungen		C. F. Gellert				True			Reg001243
standardpost	False	NovelsPlaysTales	Fem Digte af Theokritos. Ill. af Lorenz Frølich. Oversatte af Sigurd Müller						True	1872		Reg001274
standardpost	False	NovelsPlaysTales	Les Feuilles d'automne		V. Hugo				True			Reg002120
standardpost	False	NovelsPlaysTales	Fire Thronarvinger		Nicolaj Bøgh				True			Reg001290
standardpost	False	NovelsPlaysTales	Der Fischer		J. W. von Goethe				True			Reg000780
standardpost	False	NovelsPlaysTales	Fordum og nu		Bj. Bjørnson				True			Reg001326
standardpost	False	NovelsPlaysTales	Formælingen den 28de Juli 1869		Henrik Hertz				True			Reg001327
standardpost	False	NovelsPlaysTales	Fra »Bragi«. Digte af Svend Trøst [Ͻ: Alfred Ipsen] og Svend Vonved [Ͻ:: Johs. Levinsen]. Randers 1871						True			Reg001356
standardpost	False	NovelsPlaysTales	Fra min Ungdom		H.P. Holst				True			Reg001354
standardpost	False	NovelsPlaysTales	Fred eller Krig?		C. Hostrup				True			Reg001370
standardpost	False	NovelsPlaysTales	Frederiksborg		Chr. K. F. Molbech				True			Reg001378
standardpost	False	NovelsPlaysTales	Frelst		M. Rosing				True			Reg001380
standardpost	False	NovelsPlaysTales	Frithiofs Saga		E. Tegnér				True			Reg001391
standardpost	False	NovelsPlaysTales	Fänrik Ståls sägner		J. L. Runeberg				True			Reg001405
standardpost	False	NovelsPlaysTales	Gaadebrev - Svar paa Gaadebrev	15.2.1863	Erik Bøgh				True	22.2.1863		Reg001408
standardpost	False	NovelsPlaysTales	Gedichte, 2. Auflage 1834		Adelbert von Chamisso				True			Reg001431
standardpost	False	NovelsPlaysTales	Gedichte		Annette von Droste-Hülshoff				True	1844		Reg001427
standardpost	False	NovelsPlaysTales	Gedichte		Ferd. Freiligrath				True			Reg001428
standardpost	False	NovelsPlaysTales	Gedichte		Emanuel Geibel				True	1840		Reg001426
standardpost	False	NovelsPlaysTales	Gedichte in niederösterreichischer Mundart		I. F. Castelli				True			Reg001429
standardpost	False	NovelsPlaysTales	Gedichte in pfälziseher Mundart. 3. Aufl		Franz von Kobell				True			Reg001430
standardpost	False	NovelsPlaysTales	Gedichte, ältere und neuere		Fr. von Pechlin				True	1842		Reg001432
standardpost	False	NovelsPlaysTales	Giengangeren og han selv, eller Baggesen over Baggesen		J. Baggesen				True			Reg001449
standardpost	False	NovelsPlaysTales	Giv Tid!		B.S. Ingemann				True			Reg001457
standardpost	False	NovelsPlaysTales	Gjenganger-Breve		Henrik Hertz				True			Reg001459
standardpost	False	NovelsPlaysTales	Grabschrift auf meinen Hund		I. F. Castelli				True			Reg001473
standardpost	False	NovelsPlaysTales	Den grimme Ælling. Eventyr af H. C. Andersen. Fortalt paa Vers af den 14-aarige Peder Jacobsen i Flemløse		Assens Avis 1872 Nr. 85-88; 3.5.; 5.5.; 6.5.; 8.5.				True			Reg000714
standardpost	False	NovelsPlaysTales	»Guds Fred er meer end Engle-Vagt«		N. F. S. Grundtvig; sunget ved hans Bisættelse 11.9.1872				True			Reg003632
standardpost	False	NovelsPlaysTales	Guldæblet		B.S. Ingemann				True			Reg001505
standardpost	False	NovelsPlaysTales	»Göta kom i dans från Seves fjällar -«		Esaias Tegnér				True	Tekst		Reg003633
standardpost	False	NovelsPlaysTales	Hans og Trine	Af Scener i Rosenborg Slotshave	Poul Møller				True			Reg001535
standardpost	False	NovelsPlaysTales	Hausschatz der Volkspoesie		Bernhard Wolff				True			Reg001538
standardpost	False	NovelsPlaysTales	Hávamál						True			Reg001674
standardpost	False	NovelsPlaysTales	Heide, Gylfes dotter		Karl XV				True			Reg001543
standardpost	False	NovelsPlaysTales	Heidenröslein		J. W. von Goethe				True			Reg001544
standardpost	False	NovelsPlaysTales	Helge		A. Oehlenschlæger				True			Reg001554
standardpost	False	NovelsPlaysTales	Den hemmelighedsfulde Port		B. S. Ingemann				True			Reg000727
standardpost	False	NovelsPlaysTales	Henimod Aften ved Rom	Efter et Maleri af Küchler	H. Hertz				True			Reg001558
standardpost	False	NovelsPlaysTales	»Herlige Hav -«		Havfruens første Sang af Fortællingen De Underjordiske, B. S. Ingemann				True			Reg003635
standardpost	False	NovelsPlaysTales	Herr Karl eller klosterrovet		Geijer; Afzelius				True	Geijer og Afzelius: Svenska folkvisor Nr. 26		Reg001579
standardpost	False	NovelsPlaysTales	Hiawatha se: The Song of Hiawatha		H. W. Longfellow				True			Reg001591
standardpost	False	NovelsPlaysTales	Holmens faste Stok		Adolph Recke				True			Reg001626
standardpost	False	NovelsPlaysTales	Hr. Sverkel		Abrahamson; Nyerup; Rahbek				True	Abrahamson, Nyerup og Rahbek: Udvalgte danske Viser fra Middelalderen Nr. CLV		Reg001638
standardpost	False	NovelsPlaysTales	Hälsning till Danmark		Carl Fredrik Ridderstad				True			Reg001675
standardpost	False	NovelsPlaysTales	Hundrede Digte efter det Engelske		C. Preetzmann				True	Pseudonym: Caralis		Reg001651
standardpost	False	NovelsPlaysTales	Hyrden og Slangen		Rudolph Schmidt				True			Reg001671
standardpost	False	NovelsPlaysTales	»l denne Bog, hvor alt et Hold -«:	I Wilhelmine Sonnleithners Stambog	Henrik Hertz				True	Tekst		Reg003682
standardpost	False	NovelsPlaysTales	I Ny og Næ		Vilhelm Bergsøe				True			Reg001691
standardpost	False	NovelsPlaysTales	I Nød og Fare		Chr. Richardt				True			Reg001693
krydshenvisning	False	NovelsPlaysTales	»I Snee staaer Urt og Busk i Skjul -« (Af »Huldregaverne«) (B. S. Ingemann)					Giv Tid!	True			Reg003643
standardpost	False	NovelsPlaysTales	I Sorg og i Glæde		Benedicte Arnesen Kall				True			Reg001698
standardpost	False	NovelsPlaysTales	Iliaden		Homeros				True			Reg001726
standardpost	False	NovelsPlaysTales	In der Fürstengruft zu Weimar am 29. Jan. 1846		Hermann Rollett				True			Reg001739
standardpost	False	NovelsPlaysTales	Ja og Nei eller Den hurtige Frier		J. Baggesen				True			Reg001767
standardpost	False	NovelsPlaysTales	Jacob og Lone		Chr. Winther				True			Reg001769
standardpost	False	NovelsPlaysTales	Die Jobsiade		Karl Arnold Kortum				True			Reg000886
standardpost	False	NovelsPlaysTales	En Julegave i Sang fra Gamle og Unge, samlet af Vilhelm Gregersen						True			Reg001091
standardpost	False	NovelsPlaysTales	Keed af Verden, og kier ad Himmelen	»Far, Verden, far vel -«	Thomas Kingo				True			Reg001886
standardpost	False	NovelsPlaysTales	Kirkeklokken i Farum		C. J. Boye				True			Reg001893
standardpost	False	NovelsPlaysTales	Klintekorset		O. C. Lund				True			Reg001910
standardpost	False	NovelsPlaysTales	Klokken		Fr. von Schiller	Das Lied von der Glocke			True			Reg001913
inferred_container	False	NovelsPlaysTales	Das Lied von der Glocke		Fr. von Schiller				False			
standardpost	False	NovelsPlaysTales	Klänge und Bilder aus Ungarn		J. N. Vogl				True			Reg001916
standardpost	False	NovelsPlaysTales	»Kong Christian stod ved høien Mast -«		Johs. Ewald				True			Reg003651
standardpost	False	NovelsPlaysTales	Die Kraniche des Ibykus		Fr. Von Schiller				True			Reg000889
standardpost	False	NovelsPlaysTales	Der Kreuzschnabel		Julius Mosen				True			Reg000790
standardpost	False	NovelsPlaysTales	Et Kys		C. Ploug				True			Reg001210
standardpost	False	NovelsPlaysTales	The Lady of the Lake		W. Scott				True			Reg003213
standardpost	False	NovelsPlaysTales	Lalla Rookh . Übers. von Fr. von Pechlin		Thomas Moore				True			Reg002030
standardpost	False	NovelsPlaysTales	Last Poems		Elisabeth Barrett Browning				True			Reg002045
standardpost	False	NovelsPlaysTales	Lay of the Last Minstrel		W. Scott				True			Reg002050
standardpost	False	NovelsPlaysTales	Lebensfahrt	»Ein Lachen und Singen -«	H. Heine				True			Reg002100
standardpost	False	NovelsPlaysTales	Die Legende von hl. Katharina		Luise von Bornstedt				True			Reg000893
standardpost	False	NovelsPlaysTales	Het lelijke jonge eendtjen Andersen naverteld		J. J. L. ten Kate				True		HCA	Reg001589
standardpost	False	NovelsPlaysTales	Lenore		G. A. Bürger				True			Reg002102
