entry_id	surname	verdict	head	n_tail_fragments	tail_fragments	xlsx_matches	scores
PerXI03977	Holstein	MANUAL	Datter af C.C.Zahrtmann, g. 1850 m. Ludvig HolsteinHolsteinborg. IV 198 199 201-04 205 218 222 236 294 368 433 464 465 466-67 470. V 18 134 135 138 140-41 142 159 160 172 174 175 177 267 349 387 388 389-90 444. VI 78 128 232 267 269 270 328 330 342 345 346 349 350. VII 2 5-6 187 189 192 193-95 196 198 199 201-02 207 208 219 220 224 225 226-29 231 235 239 240 246 256 258 260 290 320 321 322 326 327 332 334 361 396. VIII 5 44 46 99 108 109 111-12 114 136 137 183 193 247 256 257 259 260- 61 262 268 309 343 344 351 371-73 378 379 380 381 386 387-91 393 395 397 399 405 432 445. IX 51 53 72 81 176-77 183 188 190 197 198 212 215 220 228 238-39 242 252 308 323 333 340 347 349 363-66 369-70 372 376 378 381 385 387-88. X 2 7 14 21 32 39-40 43 45 55 61 62 64 72 80 86 190 210 226 227 242 246 248 250 251 253 254 255 257-58 260-63 265-66 268 270-71 272 276 277 278 282 286 297 320 334 340 353 368-69 376 396 410 414 418 419 420 427 444. — Se ogsaa: Zahrtmann, Mimi. Holstein, Ulrik	1	Adolph, Greve (1851-83), Søn af Ludvig Holstein-Holsteinborg.	Knuth, Greve	0.64
PerXI03985	Holsten	MANUAL	Datter af Adam Christoffer H.-Carisius, g. 1860 m. Ove Sehestedt Juul. II 388. — Se ogsaa: Juul, Emilie Sehestedt. Holsten,	2	Regitze, Baronesse (1831-96), Datter af Adam Christoffer H.-Carisius, g.1857 m. J.B.S.Estrup. II 388. Holsten-C(h)arisius, Adam || Christopher, Baron (1793-1879), Søn af Admiral Hans Holsten, 1849 Besidder af Baroniet Holstenshuus, Kammerherre, 1866 Gehejmekonferensraad.	Reiswitz, Baronesse || Christophersen, Harald (1838–1919)	0.86 || 0.75
PerXI04191	Ingelman	MANUAL	svensk Digter og Publicist, Kopist i Riksarkivet, Stockholm. II 23. Ili 340.	1	Ingemann, Bernhard Severin (1789- 1862), Digter, Søn af Birgitte I., 1822 Lektor ved Sorø Akademi, kst. Direktor 1842-49, Etatsraad 1845, Konferensraad 1857. I 2 45-46 118 186 469- 70. II 5 98 114 115 143 279 283 296-97, 395. III 70 136 225 284 286 287 288 292 386-88 404 405 413 414 416 422. IV 6-7 26 34 163 169 193 194 197 198 203 204 211 215 235 236 237-38 239 274 277 282 289-91 292 294 295 298 304 321 336 342 345 358 367-68 371 383 399 409 419 431 463 464 466 467-68 469 472 473 474 475. V 8 9 12 14 18 40 71 88 95 111 114 115-16 118 134 135 137-38 139 141 150-53 (Død og Begravelse), 186 396 398.	Ingemann, Bernhard Severin (1789–1862)	1.00
PerXI04470	Karen Marie	MANUAL	HCA.s Halvsøster, se:	1	Andersen, Karen Marie. Karl den Store (742-814), frankisk Konge 768, romersk Kejser 800.	Andersen, Karen Marie (1799–1846)	0.72
PerXI04867	Lagerheim	MANUAL	Datter af Elias L., g. 1852 m. Carl Ludvig Løvenskiold. III 335. — Se ogsaa: Løvenskiold, Charlotta. Lagerheim,	1	Elias, Friherre (1791-1864), svensk-norsk Gesandt i København 1836-56, Udenrigsminister 1856-88.	Ramel, Hans, Friherre (1807–1856)	0.78
PerXI05001	Lehmann	MANUAL	Komponist, Datter af Heinrich L., g. 1874 m. Axel Liebmann. VII 214. — Se ogsaa: Liebmann, Nanna.	1	Lehmann, Orla (1810-70), Søn af Martin L., stud, jur., 1833 cand. jur., Advokat, 1844 Højesteretsadvokat, 1848 Minister uden Portefeuille, 1848-61 Amtmand over Vejle Amt, 1861-63 Indenrigsminister; 1851-53 Folketingsmand, 1854 til sin Død Landstingsmand. I 59 454. II 245 297 321-22 326 328 330 333 336 339-40. 380.	Lehmann, Orla (1810–1870)	1.00
PerXI05095	Lewald	MANUAL	Datter af David L., tysk Forfatterinde, g. 1854 m. Adolf Stahr. III 87 92-93 98-99 111 125. — Se ogsaa: Stahr, Fanny. Lewenhaupt, Adam Casimir	1	Ludvig, Greve (1820-95), 1839 Underløjtnant ved Skånska dragonregimentet, senere Overkammerherre hos Dronning Lovisa af Sverrig-Norge, Besidder af Sjoholm, Ôstra Vingåkers S., Sodermanland.	Paar, Ludwig, Greve (1817–1893)	0.75
PerXI05134	Liebmann	MANUAL	Komponist, Datter af Heinrich Lehmann, g. 1874 m. Axel L. X 342 403. — Se ogsaa Lehmann, Nanna.	1	Liisberg, H. (1815-83), Købmand og Brændevinsbrænder i Aarhus, Raadmand.	Lüsberg, H. (1815–1883)	0.86
PerXI05269	Ludvig	MANUAL	Müller, Ludvig (1833). Ludwig IV (1287-1347), Konge af Bayern, tysk-romersk Kejser 1328. IX	2	Lumbye, Caroline (1833-1901), Skuespillerinde, Datter af H. C. L., g. 1° m. Adolph Recke 1851, 2° 1870 m. Skuespiller Frederik Madsen. IV 10. — Se ogsaa: Recke, Caroline v. d. || Lumbye, Georg (1843-1922), Søn af H. C. L., Komponist og Dirigent.	Lumbye, Caroline (1833–1901) || Lumbye, Georg (1843–1922)	1.00 || 1.00
PerXI05399	Løvenskiold	MANUAL	Datter af Elias Lagerheim, g. 1852 m. Carl Ludvig L. VIII 48. — Se ogsaa: Lagerheim, Charlotta. Løvenskiold,	1	Eggert (Aga), Baron (1788- 1861), Overførster, Hofjægermester.	Løvenskiold, Eggert (Aga), Baron (1788–1861)	0.75
PerXI05423	Löwenstern	MANUAL	dansk Gesandt i Wien, Generalmajor. III 72 75-76. M.	1	Maag, Sophie (1846-70), g. 1869 m. Otto v. Düring. VIII 221-22. — Se ogsaa: Düring, Sophie v. Månsdotter, Cecilia, Moder til Gustaf I Vasa af Sverrig.	Rung, Sophie (1850–1929)	0.75
PerXI05859	Moltke	MANUAL	g. 1865 m. Christian M.(-Lystrup). VII 274. X 284 288. — Se ogsaa: Danneskiold-Samsøe, Amalie. Moltke (-Nutschau),	1	Anna, Komtesse (1834-90), Datter af Carl M.(-N), g. 1855 m. Baron Herman Bagge af Boo.	Knuth, Komtesse	0.76
PerXI05891	Moltke	MANUAL	Datter af A.W.M., g.1852 m. Kommitteret i Domænedirektionen, senere Stiftamtmand Christian Bille-Brahe. II 275 278 281-83. III 418 425. — Se ogsaa: Bille-Brahe, Maria. Moltke,	1	Marie, Komtesse (1815-90), Datter af Carl Emil M., Conradineslyst.	Scheel, Marie, Komtesse (1842–1933)	0.79
PerXI05917	Moltke-Hvitfeldt	MANUAL	Datter af A. L. Seebach, g. 1863 m. Léon M.-H. VII 72 81 272 279. VIII 345. — Se ogsaa: Seebach, Maria. Moltke-Hvitfeldt, Octavia, Grevinde, f. Hjelm (1834-1918), g. 1856 m. Wladimir M.-H. VI 16 160. IX 247. — Se ogsaa: Hjelm, Octavia. Moltke-Hvitfeldt,	1	Olga, Komtesse (1870- 1955), Datter af Wladimir M.-H., g. 1891 m. preussisk Oberst Egmont Polydor von Websky.	Moltke, Komtesse	0.80
