collin_surname,collin_given_names,collin_birth_year,collin_death_year,match_tier,match_count,match_reg_ids,match_labels
Brandt,C. J.,1817,1889,surname_only,7,Reg0041610;Reg0041620;Reg0041630;Reg0041690;Reg0041730;Reg0041760;Reg0041770,"Brandt | Brandt | Brandt | Brandt, C. (død 1895, 79 år gl.) | Brandt, Frederik Christian (død 1839) | Brandt, Nancy Mathilde | Brandt, Rasmine Johanne"
Brandt,Georg,1830,1889,exact,1,Reg0041750,"Brandt, Georg (1830–1889)"
Brandt,"Petronella Deborah, f. van Eeghen",1822,1897,exact,1,Reg0041710,"Brandt, Deborah Petronella, f. van Eeghen (1822–1897)"
Bravo,Johan,1797,1876,exact,1,Reg0041990,"Bravo, Johan (1797–1876)"
Bredahl,Christian,1784,1860,exact,1,Reg0042010,"Bredahl, Christian (1784–1860)"
Bredal,Ivar,1800,1864,exact,1,Reg0042040,"Bredal, Ivar Fr. (1800–1864)"
Bredsdorff,Christian Hornemann,1802,1848,surname_year_mismatch,5,Reg0042080;Reg0042090;Reg0042100;Reg0042110;Reg0042120,"Bredsdorff, Chr. (1836–1892) | Bredsdorff, Hanne (1840–1906) | Bredsdorff, Jacob Hornemann (1790–1841) | Bredsdorff, Petrine, f. Møller (1801–1859) | Bredsdorff, Ulrikke Palline Wilhelmine (1799–1883)"
Bredsdorff,Christian Johan,1765,1853,surname_year_mismatch,5,Reg0042080;Reg0042090;Reg0042100;Reg0042110;Reg0042120,"Bredsdorff, Chr. (1836–1892) | Bredsdorff, Hanne (1840–1906) | Bredsdorff, Jacob Hornemann (1790–1841) | Bredsdorff, Petrine, f. Møller (1801–1859) | Bredsdorff, Ulrikke Palline Wilhelmine (1799–1883)"
Bredsdorff,Eline,1806,1888,surname_year_mismatch,5,Reg0042080;Reg0042090;Reg0042100;Reg0042110;Reg0042120,"Bredsdorff, Chr. (1836–1892) | Bredsdorff, Hanne (1840–1906) | Bredsdorff, Jacob Hornemann (1790–1841) | Bredsdorff, Petrine, f. Møller (1801–1859) | Bredsdorff, Ulrikke Palline Wilhelmine (1799–1883)"
Bredsdorff,Jacob Hornemann,1790,1841,exact,1,Reg0042100,"Bredsdorff, Jacob Hornemann (1790–1841)"
Bredsdorff,Morten Thomsen,1757,1841,surname_year_mismatch,5,Reg0042080;Reg0042090;Reg0042100;Reg0042110;Reg0042120,"Bredsdorff, Chr. (1836–1892) | Bredsdorff, Hanne (1840–1906) | Bredsdorff, Jacob Hornemann (1790–1841) | Bredsdorff, Petrine, f. Møller (1801–1859) | Bredsdorff, Ulrikke Palline Wilhelmine (1799–1883)"
Bredsdorff,"Petrine Jacobine, f. Møller",1801,1859,exact,1,Reg0042110,"Bredsdorff, Petrine, f. Møller (1801–1859)"
