seq,year_inferred,date_raw,text_da,section_label,source_file
99,1866,7.2.—10.2.,Utrecht.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
100,1866,10.2.—14.3.,Amsterdam. Gæst hos A. L. Brandt.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
101,1866,13.2.,I Zoologisk Have.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
102,1866,14.3.—18.3.,Leiden. Gæst hos Johs. Kneppelhout.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
103,1866,18.3.—23.3.,Haag.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
104,1866,23.3.,Fra Haag til Antwerpen.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
105,1866,23.3.—26.3.,Antwerpen.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
106,1866,26.3.—29.3.,Bruxelles.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
107,1866,29.3.,Fra Bruxelles til Paris.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
108,1866,29.3.—13.4.,Paris.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
109,1866,13.4.—14.4.,Fra Paris over Tours (overnatning 13.4.) tilBordeaux.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
110,1866,14.4.—24.4.,Bordeaux.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
111,1866,24.4.,Fra Bordeaux til Bayonne.,Tidstavle 1866-1867,hcadag07_009_IX.xhtml
112,1868,1.1.—21.4.,København.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
113,1868,15.1.,Fru Ingemann dør.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
114,1868,21.4.,Fra København til Odense.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
115,1868,21.4.—26.4.,Odense. Gæst hos rektor R. J. F. Henrichsen.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
116,1868,23.4.—24.4.,Oplæsning til fordel for Frederik VII.sStiftelse.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
117,1868,26.4.,Fra Odense til Hamburg.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
118,1868,26.4.—28.4.,Hamburg.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
119,1868,28.4.—30.4.,"Fra Hamburg over Minden (overnatning 28.4.) og Arnhem (overnatning29.4.) til Amsterdam.",Tidstavle 1868-1870,hcadag08_010_X.xhtml
120,1868,30.4.—7.5.,Amsterdam. Gæst hos Georg Brandt.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
121,1868,7.5.—8.5.,"Fra Amsterdam over Antwerpen (overnatning 7.5.) til Gent.",Tidstavle 1868-1870,hcadag08_010_X.xhtml
122,1868,8.5.—11.5.,Gent. Gæst hos Sophus Løwener.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
123,1868,11.5.,Fra Gent til Paris.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
124,1868,11.5.—19.5.,Paris. Samvær med Einar Drewsen.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
125,1868,19.5.—20.5.,Fra Paris over Dijon (overnatning 19.5.)til Neuchâtel.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
126,1868,20.5.—23.5.,Neuchâtel.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
127,1868,23.5.,Fra Neuchâtel til Genève.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
