surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
rømer	matchet_person_men_beskrivelse_afviger	PerXI07219	Rømer	Elisa	1839	1930	Operasangerinde, Koncertsangerinde og Skuespillerinde, deb. paa Det kgl. Teater 1865, ved Folketeatret 1865-70, g.1865 m. Viggo Sanne.	VI:222;VI:236	Rømer	Elisa	1839	1930	Operasangerinde, Koncertsangerinde og Skuespillerinde, deb. på Det kgl. Teater 1865, ved Folketeatret 1865–1870, g. 1865 m. Viggo Sanne.
rømer	kun_min	PerXI07220	Rømer	F. C. F. D.	1803	1848	cand.jur., Fuldmægtig i Generalkrigskommissariatet.	I:367;I:368					
rønne	matchet_person_men_beskrivelse_afviger	PerXI07224	Rønne				Frøken, Basnæs 28.5.1870 (NB! Ikke Søster til M.C.R.).	VIII:374	Rønne	Frøken			Basnæs 28.5.1870 (NB! Ikke Søster til M.C.R.).
rønne	matchet_person_men_beskrivelse_afviger	PerXI07227	Rønne	C. F.	1798	1890	Søn af B.F. R., Sognepræst i Høve og Flakkebjerg 1834-76, 1858-81 Formand for »Kirkelig Forening for Indre Mission i Danmark«.	VIII:389	Rønne	C. F.	1798	1890	Søn af B.F. R., Sognepræst i Høve og Flakkebjerg 1834–1876, 1858–1881 Formand for »Kirkelig Forening for Indre Mission i Danmark«.
rønne	matchet_person_men_beskrivelse_afviger	PerXI07228	Rønne	Caroline Sophie Vilhelmine, f. Rønne	1815	1879	g.1836 m. M.C.R.	VIII:224	Rønne	Caroline Sophie Vilhelmine, f. Rønne	1815	1879	g.1836 m. M.G.R.
rønne	kun_min	PerXI07231	Rønne	Nicolai Iver	1803	1876	Søn af B.F.R., Slotsgartner paa Sorgenfri Slot.	I:508;I:509					
rørbye	kun_min	PerXI07237	Rørbye	F. C.	1795	1860	Prokurator i Frederikshavn.	IV:353;IV:354;IV:355					
rørbye	kun_min	PerXI07241	Rørbye	Sophie, f. Henne	1813	1896	Datter af Johanne Clausine Henne, g. 1851 m. F.C.R.	IV:353;IV:354;IV:355					
saabye	matchet_person_men_beskrivelse_afviger	PerXI07257	Saabye	Anne Marie, f. Høyer	1786	1857	Enke efter Grosserer Niels Chr. S., g.i829 m. Kabinetssekretær J. G. Adler.	I:33;I:38	Saabye	Anne Marie, f. Høyer	1786	1857	Enke efter Grosserer Niels Chr. S., g. 1829 m. Kabinetssekretær J. G. Adler.
saabye	kun_min	PerXI07258	Saabye	Augusta, f. Laurwald	1789	1850	tidligere Solodanserinde ved Det kgl. Teater, g.m. Peter S.	II:266;II:267					
saabye	kun_xlsx								Saabye	A. V.	1823	1916	Billedhugger.
sachsen-meiningen-hildburghausen	matchet_person_men_beskrivelse_afviger	PerXI07283	Sachsen-Meiningen-Hildburghausen	Charlotte, Arveprinsesse af -, f. Prinsesse af Preussen	1831	1855	g.1850 m. Georg af S.-M.-H.	IV:88	Sachsen-Meiningen-Hildburghausen	Charlotte, Arveprinsesse af –, f. Prinsesse af Preussen	1831	1855	g. 1850 m. Georg af S.-M.-H.
sachsen-meiningen-hildburghausen	kun_min	PerXI07284	Sachsen-Meiningen-Hildburghausen	Georg (II), Arveprins af —	1826	1914	Hertug 1866.	IV:87;IV:88					
sachsen-weimar-eisenach	matchet_person_men_beskrivelse_afviger	PerXI07285	Sachsen-Weimar-Eisenach	Anna, Prinsesse af —	1828	1864	Datter ^ Prins Bernhard af S.-W.-E.	IV:81	Sachsen-Weimar-Eisenach	Anna, Prinsesse af –	1828	1864	Datter af Prins Bernhard af S.-W.-E.
sachsen-weimar-eisenach	kun_min	PerXI07287	Sachsen-Weimar-Eisenach	Auguste, Prinsesse af -, f. Prinsesse af Wiirttemberg	1825	1898	g.1851 m. Hermann af S.- W.-E.	IV:440;IV:441					
sachsen-weimar-eisenach	matchet_person_men_beskrivelse_afviger	PerXI07288	Sachsen-Weimar-Eisenach	Bernhard, Prins af —	1792	1862	Søn af Carl August af S.-W.-E. (1757-1828), hollandsk General.	III:209;IV:81;V:196	Sachsen-Weimar-Eisenach	Bernhard, Prins af –	1792	1862	Søn af Carl August af S.-W.-E. (1757–1828), hollandsk General.
sachsen-weimar-eisenach	matchet_person_men_beskrivelse_afviger	PerXI07289	Sachsen-Weimar-Eisenach	Carl Alexander, Arvestorhertug af —	1818	1901	Søn af Carl Friedrich af —, Storhertug 1853.	II:397;II:398;II:399;II:400;II:401;II:442;III:2;III:18;III:34;III:41;III:42;III:43;III:44;III:45;III:46;III:47;III:48;III:49;III:50;III:51;III:52;III:53;III:55;III:56;III:57;III:58;III:59;III:62;III:64;III:65;III:74;III:87;III:89;III:109;III:111;III:112;III:139;III:148;III:165;III:170;III:171;III:172;III:173;III:174;III:175;III:176;III:177;III:183;III:189;III:198;III:200;III:206;III:208;III:209;III:210;III:217;III:224;III:235;III:254;III:270;III:271;III:272;III:273;III:274;III:311;III:322;III:352;III:383;III:406;III:411;III:414;III:424;IV:32;IV:34;IV:79;IV:84;IV:88;IV:89;IV:91;IV:104;IV:117;IV:155;IV:156;IV:164;IV:169;IV:175;IV:177;IV:178;IV:190;IV:201;IV:202;IV:204;IV:213;IV:214;IV:215;IV:225;IV:226;IV:276;IV:278;IV:279;IV:284;IV:285;IV:286;IV:287;IV:291;IV:324;IV:326;IV:336;IV:376;IV:394;IV:402;IV:422;IV:476;V:1;V:4;V:101;V:107;V:206;V:433;VII:297;VII:298;IX:68;X:131;X:132;X:240;X:241;X:242;X:250;X:261;X:262;X:267;X:282;X:283;X:439;X:444;X:455	Sachsen-Weimar-Eisenach	Carl Alexander, Arvestorhertug af –	1818	1901	Søn af Carl Friedrich af –, Storhertug 1853.
sachsen-weimar-eisenach	matchet_person_men_beskrivelse_afviger	PerXI07292	Sachsen-Weimar-Eisenach	Carl Friedrich, Storhertug af —	1783	1853	Søn af Carl August af S.-W.-E. (1757- 1828), Storhertug 1828.	II:398;II:401;IV:42;IV:43;IV:44;IV:45;IV:48;IV:50;IV:51;IV:55;IV:56;IV:57;IV:174;IV:175;IV:272;IV:80;IV:87;IV:88;IV:89;IV:91	Sachsen-Weimar-Eisenach	Carl Friedrich, Storhertug af –	1783	1853	Søn af Carl August af S.-W.-E. (1757–1828), Storhertug 1828.
sachsen-weimar-eisenach	kun_min	PerXI07294	Sachsen-Weimar-Eisenach	Hermann, Prins af —	1825	1901	Søn af Bernhard af S.-W.-E., württembergsk Generalløjtnant.	IV:440;IV:441					
sachsen-weimar-eisenach	matchet_person_men_beskrivelse_afviger	PerXI07297	Sachsen-Weimar-Eisenach	Maria Pavlovna, Storhertuginde af -, f. Storfyrstinde af Rusland	1786	1859	Datter af Paul I af Rusland, g.1804 m. Carl Friedrich af S.-W.-E.	II:398;II:399;II:401;III:19;III:42;III:43;III:44;III:45;III:46;III:47;III:48;III:49;III:50;III:51;III:53;III:54;III:57;III:170;III:173;III:174;III:175;III:272;IV:80;IV:83;IV:91;IV:212;IV:213;IV:214;IV:216;IV:284;IV:287;IV:326;VI:295	Sachsen-Weimar-Eisenach	Maria Pavlovna, Storhertuginde af –, f. Storfyrstinde af Rusland	1786	1859	Datter af Paul I af Rusland, g. 1804 m. Carl Friedrich af S.-W.-E.
sachsen-weimar-eisenach	matchet_person_men_beskrivelse_afviger	PerXI07299	Sachsen-Weimar-Eisenach	Sophie, Arvestorhertuginde af -, f. Prinsesse af Nederlandene	1824	1897	Datter af Willem II af Nederlandene, g.1842 m. Carl Alexander af S.-W.-E., 1853 Storhertuginde.	II:399;II:401;III:42;III:43;III:44;III:45;III:46;III:47;III:48;III:49;III:50;III:51;III:52;III:53;III:57;III:173;III:174;III:175;III:208;III:209;III:272;III:273;IV:84;IV:87;IV:91;IV:155;IV:188;IV:189;IV:190;IV:213;IV:214;V:43;VI:295;X:132;VII:57	Sachsen-Weimar-Eisenach	Sophie, Arvestorhertuginde af –, f. Prinsesse af Nederlandene	1824	1897	Datter af Willem II af Nederlandene, g. 1842 m. Carl Alexander af S.-W.-E., 1853 Storhertuginde.
salomon	matchet_person_men_beskrivelse_afviger	PerXI07320	Salomon	Hanne	1811	1859	Datter af Wulf S., g.1835 Jacoby i København. I 121. Salomon (senere Saloman), Julius (1838- 92), Broder til Siegfried Saloman, Operasanger i Stockholm.	X:298	Salomon	Hanne	1811	1859	Datter af Wulf S., g.1835 Jacoby i København.
salomon	kun_min	PerXI07323	Salomon	Sara, f. Oppenheim	1786	1858	g.m. Wulf S.	I:120;I:121;I:122;I:123					
salomon	matchet_person_men_beskrivelse_afviger	PerXI07326	Salomon	Wulf	1770	1842	Brygger og Kornhandler i Odense, opholdt sig 1823-35 i Hamburg, derefter i København.	I:120;I:121;I:122;I:123;I:510	Salomon	Wulf	1770	1842	Brygger og Kornhandler i Odense, opholdt sig 1823–1835 i Hamburg, derefter i København.
salomon	kun_xlsx								Salomon	Israels Konge	-975	-935	Søn af David.
salomon	kun_xlsx								Salomon	David (døbt Julius Diedrich Slomann)	1805	1857	Søn af Wulf S., senere Grosserer i København.
salomonsen	kun_min	PerXI07328	Salomonsen				dansk Tog-Passager i Sverrig 15.9.1865.	VI:283					
salomonsen	matchet_person_men_beskrivelse_afviger	PerXI07330	Salomonsen	Amanda	1847	1918	Datter af Moritz S., g.1867 m. Fabrikant William S. VI 94 119. IX 237. Salomonsen (Salomon), Aron (ca. 1760- 1852), Købmand i Slagelse.	I:6	Salomonsen	Amanda	1847	1918	Datter af Moritz S., g. 1867 m. Fabrikant William S.
salomonsen	kun_min	PerXI07332	Salomonsen	Carl	1825	1910	norsk Overretssagfører, Christiania.	IX:124;IX:125					
salomonsen	matchet_person_men_beskrivelse_afviger	PerXI07336	Salomonsen	Harriet	1856	1879	Datter af Moritz S., g.1873 m. Edvard Brandes. VI 94. IX 227 314-16 320-21 322 334 339 361. X 18 20-21. — Se ogsaa: Brandes, Harriet. Salomonsen, Ingeborg, f. Sæhlie (1841- 1928), g.m. Carl S.	IX:125	Salomonsen	Harriet	1856	1879	Datter af Moritz S., g. 1873 m. Edvard Brandes.
salomonsen	kun_xlsx								Salomonsen				Dansk Tog-Passager i Sverrig 15.9.1865.
salomonsen	kun_xlsx								Salomonsen	Ingeborg, f. Sæhlie	1841	1928	g.m. Carl S.
santarelli	kun_min	PerXI07361	Santarelli	Emilio	1801	1886	italiensk Billedhugger.	I:386;I:387					
santen	kun_min	PerXI07362	Santen	Frederika Christina van, f. Bernhard	1802	1880	g.m. Jac. Jasper v. S.	III:202;VII:58;VII:59					
santen	kun_min	PerXI07363	Santen	Jac. Jasper van	1799	1870	Hotelvært i Haag.	VII:58;VII:59					
santen	kun_min	PerXI07364	Santen	Maria Aletta Bregina van	1846		Datter af J. J. van S., Haag.	VII:59					
santen	kun_xlsx								Santen	Maria Aletta Bregina van	1846		Datter af J. J. van S., Haag.
sass	kun_min	PerXI07380	Sass				Johanne, f. Quist (død 1912), g.m. L.W.S.	IV:343					
sass	kun_min	PerXI07381	Sass	Lorentz Waage	1818	1889	Købmand i Aalborg, Direktør for Diskontobanken sst.	IV:343;IV:344					
sass	kun_xlsx								Sass	Johanne, f. Quist		1912	g.m. L.W.S.
saxild	kun_min	PerXI07396	Saxild	Hans Vilhelm	1813	1891	dr.med., argentinsk Konsul i København 1863, Generalkonsul 1878. VIII 106-08. Saxo (omkr. 1200), Historiker.	III:416					
sayn-wittgenstein-berleburg	matchet_person_men_beskrivelse_afviger	PerXI07405	Sayn-Wittgenstein-Berleburg	Emil, Prins af —	1824	1878	Passager paa Dampskibet fra Napoli til Genova 1846, 1852 kejserlig russisk Major og Fløjadjudant hos Generalguvernøren i Tiflis, senere Generalløjtnant og Adjudant hos Kejseren.	III:136;IV:91;IV:230;IV:231	Sayn-Wittgenstein-Berleburg	Emil, Prins af –	1824	1878	Passager på Dampskibet fra Napoli til Genova 1846, 1852 kejserlig russisk Major og Fløj adjudant hos Generalguvernøren i Tiflis, senere Generalløjtnant og Adjudant hos Kejseren.
sayn-wittgenstein-berleburg	kun_min	PerXI07406	Sayn-Wittgenstein-Berleburg	Pulcheria, Prinsesse af -, f. Prinsesse Cantacazenos	1840	1865	g.1856 m. Emil S.-W.- B.	IV:230;IV:231					
scavenius	matchet_person_men_beskrivelse_afviger	PerXI07410	Scavenius	Christiane, f. Komtesse Scheel	1855	1934	g.1874 m. Otto S. X 262. — Se ogsaa: Scheel, Christiane. Scavenius, Elisabeth (1840-1920), Datter af P.B.S., g.1861 m. Hans Rudolph Wedell-Wedellsborg. V 114. — Se ogsaa: Wedell-Wedellsborg, Elisabeth. Scavenius, Henriette, f. Komtesse Moltke (1819-98), Datter af Otto Joachim M., g.1843 m. J.B.S. (1811-50).	III:291;IV:183;IV:196;IV:199;IV:200;IV:201;IV:208;IV:219;IV:221;IV:228;IV:233;IV:234;IV:235;IV:237;IV:239;IV:243;IV:253;IV:274;IV:280;IV:282;IV:288;IV:290;IV:291;IV:292;IV:294;IV:295;IV:296;IV:299;IV:304;IV:319;IV:321;IV:324;IV:343;IV:357;IV:387;IV:403;IV:433;IV:436;IV:443;IV:453;IV:461;IV:463;IV:468;IV:471;IV:472;IV:473;IV:474;V:1;V:8;V:9;V:19;V:20;V:47;V:97;V:103;V:111;V:114;V:115;V:118;V:134;V:140;V:161;V:163;V:166;V:168;V:169;V:170;V:172;V:173;V:175;V:176;V:177;V:178;V:200;V:282;V:295;V:333;V:374;V:381;V:389;V:391;V:393;V:396;V:398;V:400;V:404;V:406;V:408;V:416;V:426;V:444;V:451;V:453;VI:2;VI:4;VI:15;VI:24;VI:33;VI:46;VI:58;VI:63;VI:68;VI:71;VI:73;VI:74;VI:75;VI:76;VI:79;VI:81;VI:89;VI:100;VI:102;VI:108;VI:123;VI:128;VI:144;VI:155;VI:164;VI:167;VI:168;VI:171;VI:173;VI:174;VI:176;VI:177;VI:178;VI:183;VI:184;VI:188;VI:197;VI:199;VI:220;VI:224;VI:227;VI:231;VI:234;VI:236;VI:252;VI:254;VI:259;VI:310;VI:312;VI:313;VI:323;VI:334;VI:343;VI:344;VI:345;VI:346;VI:348;VI:350;VI:351;VI:352;VII:2;VII:3;VII:4;VII:6;VII:10;VII:13;VII:33;VII:104;VII:114;VII:129;VII:132;VII:187;VII:189;VII:193;VII:194;VII:195;VII:198;VII:199;VII:200;VII:201;VII:220;VII:221;VII:224;VII:232;VII:234;VII:246;VII:249;VII:250;VII:288;VII:306;VII:310;VII:312;VII:313;VII:317;VII:318;VII:320;VII:322;VII:323;VII:331;VII:359;VII:362;VII:363;VII:364;VII:365;VII:366;VII:371;VII:390;VII:394;VII:395;VIII:7;VIII:13;VIII:18;VIII:21;VIII:25;VIII:29;VIII:33;VIII:35;VIII:36;VIII:41;VIII:43;VIII:44;VIII:45;VIII:47;VIII:51;VIII:79;VIII:87;VIII:89;VIII:109;VIII:111;VIII:139;VIII:140;VIII:147;VIII:150;VIII:164;VIII:165;VIII:171;VIII:172;VIII:174;VIII:176;VIII:178;VIII:185;VIII:186;VIII:187;VIII:189;VIII:191;VIII:194;VIII:197;VIII:202;VIII:204;VIII:207;VIII:216;VIII:219;VIII:220;VIII:221;VIII:222;VIII:225;VIII:27;VIII:228;VIII:231;VIII:237;VIII:247;VIII:251;VIII:252;VIII:253;VIII:256;VIII:258;VIII:259;VIII:262;VIII:277;VIII:294;VIII:302;VIII:306;VIII:333;VIII:342;VIII:344;VIII:345;VIII:346;VIII:348;VIII:350;VIII:353;VIII:354;VIII:356;VIII:357;VIII:360;VIII:361;VIII:364;VIII:367;VIII:368;VIII:372;VIII:373;VIII:374;VIII:375;VIII:376;VIII:377;VIII:378;VIII:379;VIII:381;VIII:382;VIII:383;VIII:384;VIII:385;VIII:386;VIII:387;VIII:388;VIII:391;VIII:396;VIII:398;VIII:399;VIII:400;VIII:405;VIII:411;VIII:419;VIII:426;VIII:431;VIII:445;VIII:446;VIII:449;IX:1;IX:10;IX:29;IX:51;IX:52;IX:54;IX:62;IX:71;IX:72;IX:73;IX:74;IX:75;IX:76;IX:78;IX:81;IX:83;IX:84;IX:89;IX:95;IX:140;IX:147;IX:150;IX:165;IX:167;IX:178;IX:194;IX:195;IX:197;IX:204;IX:205;IX:207;IX:209;IX:211;IX:230;IX:233;IX:240;IX:245;IX:248;IX:253;IX:254;IX:256;IX:266;IX:284;IX:291;IX:293;IX:294;IX:295;IX:296;IX:299;IX:304;IX:306;IX:310;IX:316;IX:318;IX:319;IX:320;IX:321;IX:322;IX:323;IX:324;IX:325;IX:327;IX:335;IX:338;IX:339;IX:361;IX:375;X:10;X:14;X:28;X:29;X:30;X:38;X:49;X:53;X:56;X:72;X:81;X:91;X:100;X:123;X:142;X:156;X:157;X:162;X:163;X:180;X:182;X:184;X:194;X:195;X:206;X:213;X:217;X:222;X:225;X:236;X:255;X:262;X:263;X:264;X:265;X:266;X:269;X:283;X:317;X:320;X:342;X:352;X:362;X:363;X:365;X:368;X:375;X:402;X:412;X:442	Scavenius	Christiane, f. Komtesse Scheel	1855	1934	g.1874 m. Otto S.
scavenius	matchet_person_men_beskrivelse_afviger	PerXI07411	Scavenius	Jacob	1838	1915	Søn af P.B.S., cand.polit., Folketingsmand 1865-95 og 1898-1901, Kultusminister 1880-91, 1868 Besidder af Gjorslev.	VII:199;VII:363;VII:364;VIII:343;VIII:348;IX:206;IX:207;IX:209;IX:211;IX:216;IX:219;IX:227;IX:238;IX:240	Scavenius	Jacob	1838	1915	Søn af P.B.S., cand. polit., Folketingsmand 1865–1895 og 1898–1901, Kultusminister 1880–1891, 1868 Besidder af Gjorslev.
scavenius	matchet_person_men_beskrivelse_afviger	PerXI07416	Scavenius	Lucie	1844	1920	Datter af Jacob Brønnum (1811-50), g.1867 m. Carl Castenschiold. IV 236 239 292 344 436 463 474 476. V 134 168 171 176 178 390-91 408 453. VI 63 67 68 71 73 75 76 79 171 173 229 231 234 259 344 345 348 350. VII 2 6 41 54 183 188 194-96 198 201 224 233 250 252 320 322 323 359 362-63. — Se ogsaa: Castenschiold, Lucie. Scavenius, Otto (1849-1913), Søn af Jacob Brønnum S. (1811-50), Student 1867, 1867-1907 Besidder af Basnæs, Hippolog og Politiker, Kammerherre 1887.	IV:239;IV:292;IV:294;IV:463;IV:474;V:12;V:114;V:115;V:169;V:170;V:172;V:391;V:406;V:408;VI:2;VI:33;VI:75;VI:171;VI:176;VI:178;VI:228;VI:229;VI:234;VI:348;VI:350;VI:353;VII:1;VII:4;VII:5;VII:196;VII:197;VII:198;VII:224;VII:232;VII:320;VII:323;VII:359;VII:363;VII:364;VII:366;VII:389;VIII:13;VIII:18;VIII:25;VIII:33;VIII:34;VIII:36;VIII:165;VIII:172;VIII:186;VIII:191;VIII:194;VIII:258;VIII:349;VIII:360;VIII:361;VIII:364;VIII:367;VIII:368;VIII:369;VIII:371;VIII:372;VIII:376;VIII:380;VIII:381;VIII:383;VIII:384;VIII:385;VIII:386;VIII:445;IX:40;IX:72;IX:73;IX:74;IX:75;IX:76;IX:78;IX:79;IX:81;IX:195;IX:204;IX:205;IX:216;IX:249;IX:254;IX:255;IX:294;IX:295;IX:298;IX:322;IX:323;IX:324;IX:325;X:28;X:163;X:166;X:184;X:198;X:262	Scavenius	Lucie	1844	1920	Datter af Jacob Brønnum (1811–1850), g. 1867 m. Carl Castenschiold.
scavenius	matchet_person_men_beskrivelse_afviger	PerXI07418	Scavenius	Peder	1866	1949	Søn af Jacob S. (1838-1915), senere Hofjægermester og Besidder af det Scavenius'ske Fideikommis.	IX:238	Scavenius	Peder	1866	1949	Søn af Jacob S. (1838–1915), senere Hofjægermester og Besidder af det Scavenius’ske Fideikommis.
scavenius	kun_min	PerXI07420	Scavenius	Thyra, f. Castonier	1850	1930	Datter af Annie Castonier, g. 1869 m. Carl S.	IX:72;IX:73					
scavenius	kun_xlsx								Scavenius	Elisabeth	1840	1920	Datter af P.B.S., g. 1861 m. Hans Rudolph Wedell-Wedellsborg.
scavenius	kun_xlsx								Scavenius	Henriette, f. Komtesse Moltke	1819	1898	Datter af Otto Joachim M., g.1843 m. J.B.S. (1811–1850).
scavenius	kun_xlsx								Scavenius	Otto	1849	1913	Søn af Jacob Brønnum S. (1811–1850), Student 1867, 1867–1907 Besidder af Basnæs, Hippolog og Politiker, Kammerherre 1887.
scharling	matchet_person_men_beskrivelse_afviger	PerXI07444	Scharling	Emil	1822	1901	Broder til C.E.S., cand.theol., Notar ved Det theologiske Fakultet, 1860 Sognepræst i Borup J., 1866-93 ved Vallø Stiftsmenighed.	IV:44;X:283	Scharling	Emil	1822	1901	Broder til C.E.S., cand. theol., Notar ved Det theologiske Fakultet, 1860 Sognepræst i Borup J., 1866–1893 ved Vallø Stiftsmenighed.
scharling	matchet_person_men_beskrivelse_afviger	PerXI07445	Scharling	Henrik	1836	1920	Søn af C.E.S., cand.theol., 1865 iic.theol., 1870 Professor i Etik, Theolog og Digter.	V:362;V:363;V:364;V:365;V:367;V:369;V:371;V:373;V:388;V:424;V:425;V:430;VI:35;VII:10;VII:209;VII:258;VII:313;X:214;X:233;X:377	Scharling	Henrik	1836	1920	Søn af C.E.S., cand. theol., 1865 lic.theol., 1870 Professor i Etik, Theolog og Digter.
scharling	matchet_person_men_beskrivelse_afviger	PerXI07448	Scharling	Peter	1832	1922	Søn af C.E.S., cand. theol. 1854, Studierejse i Udlandet 1855-56, Adjunkt i Horsens 1856, senere Sognepræst ved St. Mortens Kirke i Randers.	IV:190;V:123;V:124	Scharling	Peter	1832	1922	Søn af C.E.S., cand. theol. 1854, Studierejse i Udlandet 1855–1856, Adjunkt i Horsens 1856, senere Sognepræst ved St. Mortens Kirke i Randers.
scharling	kun_min	PerXI07451	Scharling	William	1837	1911	Søn af C.E.S., cand.jur., 1869 Professor i Statsøkonomi og Statistik; Nationaløkonom og Politiker.	V:123;V:124					
scheltema	kun_min	PerXI07488	Scheltema	Carel Steven Adama van, se: Adama van Scheltema, C. S. Schenk, Eduard von	1788	1841	tidligere Indenrigsminister i Bayern, Skuespilforfatter.	I:419;II:60					
schepelern	kun_min	PerXI07489	Schepelern				to Frøkner, København 7.2. 1873.	X:25					
schepelern	kun_min	PerXI07490	Schepelern	Georg	1839	1900	stud, theol., 1864 cand.theol., 1869 residerende Kapellan ved Trinitatis Kirke, København, 1878 Sognepræst sst.	V:156					
schiil	kun_min	PerXI07506	Schiil	Ferdinand von	1774	1809	tysk Major, Frikorpsfører.	II:395					
schiller	kun_min	PerXI07509	Schiller	Friedrich Ludwig Ernst von, Friherre	1826	1877	Digterens Sønnesøn, Hauptmann, senere Major i østrigsk Tjeneste.	IV:285;IV:286					
schiller	kun_min	PerXI07510	Schiller	Karl von, Friherre	1793	1857	ældste Søn af Fr.v.S., Forstmand.	IV:177;IV:178					
schiøtt	kun_min	PerXI07525	Schiøtt	Charlotte Ophelia, f. Richter	1809	1896	g.1830 m. Fr.S.	I:123;I:124					
schiøtt	kun_min	PerXI07526	Schiøtt	Frederik	1798	1861	Maskinfabrikant i København, fallit 1833, udvandret til New York, hvor han havde et Kost- og Logihus.	I:123;I:124					
schjørring	kun_min	PerXI07529	Schjørring	Johanne, f. Krohn	1836	1910	Forfatterinde, Enke efter Fuldmægtig i Justitsministeriet J.B.Th.S.	X:364;X:365					
schjørring	matchet_person_men_beskrivelse_afviger	PerXI07530	Schjørring	P.	1831	1913	Byfoged og Herredsfoged i Skelskør 1869, Byfoged og Borgmester i Kolding 1877-1909, Folketingsmand 1866-76.	VIII:378;IX:295	Schjørring	P.	1831	1913	Byfoged og Herredsfoged i Skelskør 1869, Byfoged og Borgmester i Kolding 1877–1909, Folketingsmand 1866–1876.
schleiermacher	kun_min	PerXI07538	Schleiermacher				fra Darmstadt, tysk Rejsende, Mola di Gaeta 27.2.1841.	II:135					
schleiermacher	kun_min	PerXI07539	Schleiermacher	Friedrich Daniel Ernst	1768	1834	tysk Theolog.	II:372;II:373					
schleiermacher	kun_xlsx								Schleiermacher				fra Darmstadt, tysk Rejsende, Mola di Gaeta 27.2.1841.
schlicht	kun_min	PerXI07549	Schlicht	Carl von	1833	1912	tysk Landskabs- og Marinemaler.	IV:402;IV:403					
schmid von baer	kun_min	PerXI07568	Schmid von Baer	Heinrich	1801	1874	Fyrst-Abbed i Einsiedeln.	V:100;V:101					
schou	matchet_person_men_beskrivelse_afviger	PerXI07624	Schou				Frk., Viborg (København 26.10. 1864).	VI:143	Schou	Frk.			Viborg (København 26.10.1864).
schou	kun_min	PerXI07625	Schou				Proprietær (og Frue), Holsteinborg 11.12.1865.	VI:343					
schou	kun_min	PerXI07626	Schou				Regnskabsfører, 2. Forstærkningsbataillon (Glorup 10.6.1850).	III:404					
schou	kun_min	PerXI07627	Schou				Ægtepar, nævnt Odense 13.7. 1839.	II:40					
schou	matchet_person_men_beskrivelse_afviger	PerXI07628	Schou	Carl Theodor Emil	1817	1877	Underlæge 1848 ved 3. Liniebataillon, konst. Overlæge 1850, Hofmedikus hos Kong Christian IX 1864-74, tit. Professor 1864, Etatsraad 1867.	III:283	Schou	Carl Theodor Emil	1817	1877	Underlæge 1848 ved 3. Liniebataillon, konst. Overlæge 1850, Hofmedikus hos Kong Christian IX 1864–1874, tit. Professor 1864, Etatsraad 1867.
schou	kun_min	PerXI07629	Schou	Carsten Mathias	1814	1876	Sognepræst 1858 ved Vor Frue Kirke i Aalborg, Provst 1872.	IV:342;IV:343					
schou	matchet_person_men_beskrivelse_afviger	PerXI07631	Schou	Christen Mandix	1805	1857	HCA.s Skolekammerat, Student fra Slagelse 1824, Sognepræst 1834-43 i Visby, afgik af Samvittighedsgrunde, 1843 Branddirektør i Assens og Hindsgavl Amter, 1851 i Frederiksborg Amt.	VII:380	Schou	Christen Mandix	1805	1857	H.C. Andersens Skolekammerat, Student fra Slagelse 1824, Sognepræst 1834–1843 i Visby, afgik af Samvittighedsgrunde, 1843 Branddirektør i Assens og Hindsgavl Amter, 1851 i Frederiksborg Amt.
schou	kun_min	PerXI07632	Schou	Halvor	1823	1879	Fabrikejer, Christiania, Legatstifter.	IX:114;IX:115;IX:116					
schou	matchet_person_men_beskrivelse_afviger	PerXI07634	Schou	Jørgen Christian	1803	1859	exam.jur., Fuldmægtig i Hoffourerkontoret.	II:427	Schou	Jørgen Christian	1803	1859	exam.jur., Fuldmægtig i Hoffourer-kontoret.
schou	matchet_person_men_beskrivelse_afviger	PerXI07635	Schou	Maria	1826	1899	g.1867 m. Husfoged Franz Bulow.	VI:68	Schou	Maria	1826	1899	g. 1867 m. Husfoged Franz Biilow.
schou	kun_min	PerXI07636	Schou				O. C. R. (død 1878), Fotograf	VII:366;IX:377;IX:378					
schou	kun_xlsx								Schou				Proprietær (og Frue), Holsteinborg 11.12.1865.
schou	kun_xlsx								Schou	O. C. R.		1878	Fotograf.
schram	kun_min	PerXI07656	Schram	se ogsaa: Skram. Schram (Skram), Gustav	1802	1865	Fuldmægtig i Enkekassens Bogholderikontor, Lærer i Fransk ved Søkadetakademiet, senere Jernbanedirektør.	I:154;I:156;V:440					
schram	matchet_person_men_beskrivelse_afviger	PerXI07658	Schram	Peter	1819	1895	Operasanger ved Det kgl. Teater 1841-95.	III:178;IV:29;V:6;VI:127;VI:159;VI:166;VI:168;VI:193;VI:274;VI:275;VII:16;VII:216;VII:235;VII:239;VII:244;VIII:143;IX:16;IX:45;IX:66;IX:234;IX:235;IX:239	Schram	Peter	1819	1895	Operasanger ved Det kgl. Teater 1841–1895.
schulenburg	kun_min	PerXI07672	Schulenburg	Carl Otto Frederik von der, Rigsgreve	1801	1847	Ritmester, Godsejer.	II:307;II:308;II:309					
