surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
bartholin	kun_min	PerXI00460	Bartholin	Frederik	1829	1901	Premierløjtnant i Artilleriet, Kaptajn 1863, Afsked 1891 med Oberstløjtnants Karakter.	IV:370;IV:371					
bartholin	matchet_person_men_beskrivelse_afviger	PerXI00461	Bartholin	Jacobine Severine Gottholdine, f. Grevenkop-Castenskiold	1835	1912	Datter af Jørgen Grevenkop- Castenskiold, g. 1° 1856 m. W.P.B., Ægteskabet opløst 1860, 2° 1871 m. Sognepræst i Veggerslev og Villersø Hans Ferdinand Tornøe.	IV:468;VIII:380	Bartholin	Jacobine Severine Gottholdine, f. Grevenkop-Castenskiold	1835	1912	Datter af Jørgen Grevenkop-Castenskiold, g. 1° 1856 m. W.P.B., Ægteskabet opløst 1860. 2° 1871 m. Sognepræst i Veggerslev og Villersø Hans Ferdinand Tornøe.
bartholin	matchet_person_men_beskrivelse_afviger	PerXI00462	Bartholin	Johanne (Hanne)	1819	1900	Datter af Elise Margrethe B., Hofdame hos Landgrevinde Charlotte af Hessen 1855-61.	V:72;V:390;VII:252;VII:279;VII:380;VIII:203;VIII:260;VIII:354;IX:26;IX:183;X:258;X:259	Bartholin	Johanne (Hanne)	1819	1900	Datter af Elise Margrethe B., Hofdame hos Landgrevinde Charlotte af Hessen 1855–1861.
bartholin	matchet_person_men_beskrivelse_afviger	PerXI00463	Bartholin	Wilhelm Peter	1826	1896	Broder til Fr. B., Husfoged i Nybøl Herred (Broager) 1857-60, udvandret til Amerika.	IV:468	Bartholin	Wilhelm Peter	1826	1896	Broder til Fr. B., Husfoged i Nybøl Herred (Broager) 1857–1860, udvandret til Amerika.
beck	kun_min	PerXI00536	Beck	Claudia, f. Jensen	1816	1887	g. 1851 m. Hans Vilh. B.	VI:105;VI:106					
bendz	kun_min	PerXI00599	Bendz	H. C. B.	1806	1882	Læge, 1837 Lærer i Anatomi og Fysiologi ved Veterinær- og Landbohøjskolen, 1840 Professor; Etatsraad 1862, Konferensraad 1880.	I:454;I:455;I:456;I:457					
bendz	matchet_person_men_beskrivelse_afviger	PerXI00600	Bendz	Wilhelm	1804	1832	Broder til H.C.B.B., Maler.	I:122;I:376;I:406	Bendz	Wilhelm	1804	1832	Broder til H.G.B.B., Maler.
benzon	matchet_person_men_beskrivelse_afviger	PerXI00631	Benzon				Frøken (»den unge rødhaarede, kjække Pige«), Goteborg 29.7.1871.	IX:107	Benzon	Frøken			(»den unge rødhaarede, kjække Pige«), Göteborg 29.7.1871.
benzon	kun_min	PerXI00633	Benzon	Christian Albrecht	1816	1849	Maler.	II:312;II:313					
berg	matchet_person_men_beskrivelse_afviger	PerXI00640	Berg				Frøken, Dansk-Amerikaner, Leipzig 2.10.1869.	VIII:266	Berg	Frøken			Dansk-Amerikaner, Leipzig 2.10.1869.
