kind	our_entry_id	our_name	reference_name	reference_desc	shared_page_refs
name_differs	PerXI04506	Karen Marie	Karl den Store (742–814)	frankisk Konge 768, romersk Kejser 800.	II:45;II:54;II:315;IV:153;IV:241;IV:375;IV:380;V:375;IX:286
name_differs	PerXI04523	Kaulbach	Kaulbach, Josefa von (1851–19?)	Datter af Wilhelm v.K. g. 1872 m. Karl Dürck.	IV:173;IV:394;VIII:292;VIII:294
name_differs	PerXI04582	Kirner	Kimer, Rud.	Tysk Skuespilforfatter.	III:94;III:97
name_differs	PerXI04590	Kittler, Robert	Kittier, Robert (1811–1893)	Forlagsboghandler i Hamburg.	II:391;III:15;III:189
name_differs	PerXI04715	Kohle, Holstener, bosat i Örebro 1837. II 33-34.: Kok, Martin	Kok, Martin (1850–1942)	Student 1870, cand. polit. 1884, Forfatter.	X:424;X:431
name_differs	PerXI04722	X Kongslev, Laura	Kongslev, Laura (1803–1880)	Frøken.	VII:374;VIII:431;IX:34;IX:221
name_differs	PerXI04848	Kullman	Kuliman, J.R.	Dansk Vicekonsul i Uddevalla 1849.	III:300;III:302
name_differs	PerXI04923	Lange, Dorthea (Thea)	Lange, Dorthea (Thea) (1804–1882)	Datter af Maren L., g. 1834 m. Bøssemager J. Chr. Jessen, Slagelse.	I:11;I:12
name_differs	PerXI05022	Leerbeck, Jakobine Oline Frederikke, f. Hoff	Lees, F. S. Miss	Engelsk Beundrerinde (Oktober 1868).	VIII:134;VIII:136
name_differs	PerXI05105	Leuven, Adolphe de (Pseud. for Adolphe de Ribbing)	Leuven, Adolphe de (Pseud. for Adolphe de Ribbing) (1807–1884)	Fransk Skuespilforfatter.	II:331;II:350
name_differs	PerXI05133	Lewald, Fanny	Lewenhaupt, Adam Casimir Ludvig, Greve (1820–1895)	1839 Underløjtnant ved Skånska dragonregimentet, senere Overkammerherre hos Dronning Lovisa af Sverrig-Norge, Besidder af Sjöholm, östra Vingåkers S., Södermanland.	II:35;II:36;VI:285;VI:286;VI:289
name_differs	PerXI05171	Liebmann, Johanne (Hanne), f. Permin (adopt. Olufsen)	Liebmann, Johanne (Hanne), f. Permin (adopt. Olufsen) (1832–1918)	g. 1° 1854 m. F.L., 2° 1874 m. Grosserer Egmond Julius Erichsen.	VI:267;IX:222
name_differs	PerXI05210	Lindpaintner	Lindpaintner, Jfr.	Søster til Peter L.	I:415;I:438
name_differs	PerXI05212	Lindpaintner	Lindpaintner, Mad.	Moder til Peter L.	I:415;I:437;I:438
name_differs	PerXI05307	Ludvig, se: Meisling, Peter Ludvig	Lumbye, Georg (1843–1922)	Søn af H. C. L., Komponist og Dirigent.	VII:269;VII:275
name_differs	PerXI05428	Lønborg, C. J. F.	Lønborg, G. J. F. (1822–1882)	Kaptajn I i Artilleriet, 1867 Oberst, 1877 Kammerherre.	IV:370;IV:373;IV:384;IV:423;IV:450;V:189;VI:206;VI:219;VI:316;VI:337;VIII:57;VIII:236;VIII:434;IX:58
name_differs	PerXI05474	Machiavelli, Niccolo	Machiavelli, Niccold (1469–1527)	Italiensk Historiker.	I:207;I:382;II:79
name_differs	PerXI05506	Magnus, Ernst	Magnus, Emst (1841–1910)	Grosserer i Göteborg.	X:326;X:450
name_differs	PerXI05525	Maltitz, Clotilde von, Friherreinde, f. Grevinde von Bothmer	Maltitz, Glotilde von, Friherreinde, f. Grevinde von Bothmer (1807–1882)	g. 1839 m. Apollonius v. M.	IV:83;IV:213
name_differs	PerXI05536	Manderstierna, Wilhelmine (Mimi)	Manderstierna, Wilhelmine (Mimi) (1841–1921)	Søster til Alexander M., g. 1872 m. Kaptajn Paul Hermann von Heyden.	V:206;VIII:306
name_differs	PerXI05620	Martens, Elisabeth (Pseud. f. Louise Bjørnsen)	Martens, Elisabeth (Pseud. f. Louise Bjørnsen) (1824–1899)	Forfatterinde.	V:120;VI:142;VII:238;VIII:451
name_differs	PerXI05628	Martin, Nicolas	Martinez de la Rosa, Francisco (1789–1862)	Spansk Statsmand og Digter.	II:354;V:311
name_differs	PerXI05634	Mas y Sans, Sinibaldo	Masaniello (Tommaso Aniello) (ca. 1623–47)	Fører for Oprøret i Napoli 1647.	III:108;III:110
name_differs	PerXI05774	Metella	Mette	Pige hos Frk. Hallager 1869.	VIII:189;VIII:220
name_differs	PerXI05820	Meza, C. J. de	Meza, G. J. de (1792–1865)	Generalmajor, 1861 Generalløjtnant, 1864 General.	IV:38;VI:11;VI:20
name_differs	PerXI05855	Milnes, Richard Monckton (fra 1863: Lord Houghton)	Miloš Obrenovic (1780–1860)	Fyrste i Serbien 1817–1839, 1858–1860.	II:220;II:230
name_differs	PerXI05973	Monrad, Emilie, f. Liitthans	Monrad, Emilie, f. Lütthans (1815–1871)	g. 1840 m. D.G.M.	IV:470;V:14;V:448;VI:13
name_differs	PerXI05996	Morsing, Johanne (død 1776, 55 Aar gi.), Enke efter Chr.M. I 58. Mortensen (i det vestlige Amerika), se: Morton, H. C. Mortier de Fontaine, Henri Louis Stanislaus	Mortier de Fontaine, Henri Louis Stanislaus (1816–1883)	polsk Klavervirtuos.	II:341;II:343
name_differs	PerXI06002	Mosenthal, S. H.	Mosenthai, S. H. (1821–1877)	Tysk Skuespilforfatter.	IV:162;IV:198;IV:228;IV:236;VII:23;VIII:276
name_differs	PerXI06096	Müller	Müller, Wilhelmine von, f. Lüttich	g. m. Friedrich v.M.	IV:79;IV:82
name_differs	PerXI06130	Møller, Caspar	Møller, Gaspar (1811–1880)	Galvanoplastiker.	V:155;VII:227;VII:248
name_differs	PerXI06200	Nederlandene, Sophie, Dronning af —, f. Prinsesse af Württemberg	Nederlandene, Willem I, Konge af – (1772–1843)	Konge 1815–1840.	II:399;III:196
name_differs	PerXI06223	Nees	Nees, Wilhelmine (død 1911)	Datter af Chr. N.	VI:97;X:227
name_differs	PerXI06314	Nordenfalk, Maria, Friherreinde, f. Risellschold	Nordenfalk, Maria, Friherreinde, f. Risellschbld (1809–1886)	Enke efter svensk Justitsminister Johan N.	III:317;III:320
name_differs	PerXI06356	Nægler, M. B.	Nægier, M. B. (1825–1890)	Kaptajn i Infanteriet, Hofchef hos Kronprins Frederik, Kammerherre 1874, Oberst 1876, Afsked 1877.	VIII:437;IX:14
name_differs	PerXI06373	Ohlrogge, Frederik	Ohlsen (Olsen?), Helene	Christiania 1871.	IX:115;IX:124;IX:130;IX:134;X:325
name_differs	PerXI06455	Orvar Odd, se: Sturzen-Becker, O. P. Ostade, Adriaen van	Ostade, Adriaen van (1610–1684)	Hollandsk Maler.	I:384;I:433
name_differs	PerXI06477	Oxholm, Frøken (den ældre), Søster til W.O. (enten Caroline	Oxholm, Frøken (den ældre)	Søster til W.O. (enten Caroline (1803–1873), Stiftsfrøken i Vallø, eller Hilda (1822–1885), Klosterfrøken i Vemmetofte).	III:291;VIII:259
name_differs	PerXI06527	Paracelsus, Aureolus Philippus Theophrastus Bombastus von Hohenheim	Paracelsus, Aureolus Philippus Theophrastus Bombas tu s von Hohenheim (1493–1541)	Tysk Læge.	I:443;I:448;V:100;VII:145;VIII:289;IX:271
name_differs	PerXI06551	Paulsen, Tobias	Paulus (død ca. 64)	Apostel.	I:371;II:134;II:148;II:167;V:55
name_differs	PerXI06556	Pechlin, Adelheid Henriette Louise Caroline von, Baronesse, f. Komtesse von Eyben	Pechlin, Elise von, Baronesse (1792–1858)	Hofdame hos Prinsesse Juliane af Hessen-Philippsthal-Barchfeld.	III:187;III:210;III:249
name_differs	PerXI06573	Pedersen, Ole (sen.)	Pedersen, Ole (sen.) (1767–1826)	Brændevinsbrænder i Slagelse.	I:5;I:8;I:10;I:17
name_differs	PerXI06602	Perrenoud, Sophie-Lydie, f. Jürgensen	Perrot, Jules-Joseph (1810–1892)	Fransk Balletmester.	II:350;III:218
name_differs	PerXI06674	Petöfi, Sandor (Alexander)	Petöfi, Sandor (Alexander) (1823–1849)	ungarsk Digter og Politiker.	IV:426;IV:427;V:368
name_differs	PerXI06679	Pfannenschmidt	Pfannenschmidt, Frøken	Datter af Julie P.	IV:226;IV:228
name_differs	PerXI06740	Platen-Hallermund, Adolf, Greve	Platen (-Hallermiinde), Julius von, Rigsgreve (1816–1889)	1854 Intendant ved Hofteatret i Hannover, 1867 Generaldirektør for Hofteatret i Dresden.	IV:286;IV:383
name_differs	PerXI02889	Gaetano de Portugale	Portugale (?), Gaetano de	Svoger til Brødrene O’Neill.	VII:157;VII:161
name_differs	PerXI06809	Portugal, Sancho I, Konge af —	Portugale(?), Fru de, f. O’Neill	Søster til Brødrene O’Neill, g.m. Gaetano de P.	VII:105;VII:157
name_differs	PerXI06831	Power, Ellen og Marguerite	Power, Ellen (død 1902) og Marguerite (død 1867)	Niecer af Lady Blessington.	III:220;III:230
name_differs	PerXI06895	Puggaard, Bolette	Puggaard, G. (1823–1864)	Søn af Hans P., cand. polyt. 1846, dr.phil. 1851, Geolog.	III:223;III:257;III:260
name_differs	PerXI06908	Pückler-Muskau, Hermann Ludwig Heinrich von, Fyrste	Piickler-Muskau, Hermann Ludwig Heinrich von, Fyrste (1785–1871)	Tysk Forfatter og Havearkitekt.	I:490;III:41;III:45;IV:86
name_differs	PerXI06920	Qvarnstrom, C. G.	Qvarnstrom, G. G. (1810–1867)	Svensk Billedhugger.	II:128;II:131;III:339;III:340
