kind	reference_name	reference_desc	reference_refs
candidate_missing	Dahlstrøm, Frederik (Fritz) (1815–1894)	Student 1831, cand. jur. 1835, 1840 Auditør i Armeen, 1842 Kancellist i Danske Kancelli, 1848 Departementschef i Justitsministeriet, 1856–1880 Stiftamtmand over Aalborg Stift, 1850 Etatsraad, 1865 Kammerherre.	II:32;IV:325;IV:338;IV:343–345;IV:350;IV:355;IV:361;IV:472;V:163–164;V:384–386;VII:262;IX:59;IX:61;IX:66;IX:155;X:245;X:447
candidate_missing	d’Alton, Agnes, f. Rauch	Datter af Chr. D. Rauch, g. 1829 m. J. S. E. d’A.	III:39
candidate_missing	d’Alton, Johann Samuel Eduard (1803–1854)	Professor, dr med., sidst i Halle, Svigersøn af G. D. Rauch.	III:39
candidate_missing	Danmark, Charlotte Frederikke, Prinsesse af –, f. Prinsesse af Mecklenburg-Schwerin (1784–1840)	g. 1806 m. Prins Christian (VIII) Frederik, Ægteskabet ophævet 1810.	II:128;II:149;VI:212
candidate_missing	Danmark, Dagmar, Dronning af –, f. Prinsesse af Bøhmen (død 1212)	g. 1205 m. Valdemar II Sejr af D.	II:285
candidate_missing	Danmark, Marie Sophie Frederikke, Dronning af –, f. Prinsesse af Hessen-Kassel (1767–1852)	g. 1790 m. Kong Frederik VI af D.	I:213;I:225;II:31;II:305;IV:21;IV:80–81;VIII:384;IX:32
candidate_missing	Danmark, Sophie Amalie, Dronning af-, f. Prinsesse af Braunschweig-Liineburg (1628–1685)	g. 1643 m. Frederik III af D.	X:203
candidate_missing	Danneskiolds	(ikke nærmere angivet).	V:5
candidate_missing	Danneskiold-Samsøe, Henriette, Grevinde, f. Komtesse Krag-Juel-Vind-Frijs (1848–1897)	Datter af C. E. Krag-Juel-Vind-Frijs, g. 1867 m. senere Lensgreve Christian D.-S. (1838–1914).	VIII:31;VIII:114–115;VIII:200;VIII:231;VIII:356
candidate_missing	Dante Alighieri (1265–1321)	Italiensk Digter.	II:65;II:79;V:66
candidate_missing	Daoust, Charles Louis	Fransk Officer, Nizza 1869.	VIII:314–315;VIII:320;VIII:322;VIII:326–327;IX:7
candidate_missing	Daquin	London 1847.	III:263
candidate_missing	Darius III (død 330 f. Chr.)	persisk Konge 336–30.	I:335
candidate_missing	d'Aubert, Eduard (1813–1873)	Svensk Violinist.	III:381
candidate_missing	- Hans Datter	gift i Paris.	VII:176–177
candidate_missing	d’Avezac, A. G. V. (1780–1851)	Amerikansk Gesandt i Haag.	III:199
candidate_missing	David, Augusta (Gustave), (1823–?)	Datter af Nathan D.	I:10
candidate_missing	Dawison, Constance, f. Jacobi	g. 1861 m. Bogumil D.	V:111
candidate_missing	Decebalus (død 107)	Dacierfyrste.	II:215
candidate_missing	De Gazes de Glücksbierg, Frøken	11.8.1869.	VIII:239
candidate_missing	Deckner, Carlotta	ungarsk Violinistinde, København November 1865.	VI:320–322;VI:334;VII:9;VII:19–20
candidate_missing	De la Rose (eller: Roche)	Hovmester i Hotel Rydberg, Stockholm 1865.	VI:286;VI:287
candidate_missing	Delius, Ed.	Tysk Købmand, Málaga 1862.	V:238;V:240;V:241–242;V:244;V:270;V:272–273;VI:200
candidate_missing	delle Grazie, Cesare	Passager på Donau-Dampskibet Argo Maj 1841.	II:218
candidate_missing	Delong, Frue, f. Tugnot Delanoy	g. ca. 1838 m. A.H.P.G.D.	II:339
candidate_missing	Demcray (Danscray?)	(Navnet synes forskrevet), Braunschweig 22.6.1844.	II:395
candidate_missing	de Pallins, Madame	Pensionatsværtinde i Montreux 1862.	V:200–201
candidate_missing	Descombaz, Edouard Aimé	Præst i Geneve 1868.	VIII:73–77
