person_id,reg_id,tier,register_name,live_label,shared_pages,note
HCAP08258,Reg0111680,exact_name,"Scheele, L. N.","Scheele, L. N. (1796–1874)",2,
HCAP08259,Reg0111690,exact_name,"Scheele, Ludvig von","Scheele, Ludvig von (1833–1903)",6,
HCAP08260,Reg0111700,exact_name,"Scheele, Sarah Margrethe, f. Markoe","Scheele, Sarah Margrethe, f. Markoe (1806–1876)",2,
HCAP08261,Reg0111710,exact_name,"Scheffer, Ary","Scheffer, Ary (1795–1858)",4,
HCAP08262,Reg0111720,exact_name,Scheller,Scheller,1,
HCAP08263,Reg0111730,exact_name,"Scheller, Frue","Scheller, Frue",1,
HCAP08264,Reg0111740,exact_name,"Scheller, Georg Christian","Scheller, Georg Christian (1814–1868)",1,
HCAP08265,Reg0111750,exact_name,"Scheller, Henriette Elisabeth Christine, f. Bruhn","Scheller, Henriette Elisabeth Christine, f. Bruhn (1822–1893)",1,
HCAP08266,Reg0111760,exact_name,"Schelling, Friedrich Wilhelm","Schelling, Friedrich Wilhelm (1775–1854)",7,
HCAP08267,Reg0111770,exact_name,"Schelling, Julie","Schelling, Julie (1820–?)",1,
HCAP08269,,none,Schepelern,,0,
HCAP08270,,none,"Schepelern, Georg",,0,
HCAP08271,Reg0111830,exact_name,Scherini,Scherini,1,
HCAP08272,Reg0111840,exact_name,"Scherr, Johannes","Scherr, Johannes (1817–1886)",2,
HCAP08273,Reg0111860,exact_name,"Schibbye, Jens Mogens","Schibbye, Jens Mogens (1807–1878)",1,
HCAP08274,Reg0111870,exact_name,"Schidone, Bartolommeo","Schidone, Bartolommeo (ca. 1570–1614)",4,
HCAP08275,Reg0111880,exact_name,"Schiemann, Augusta, f. Petersen","Schiemann, Augusta, f. Petersen (1824–1902)",1,
HCAP08276,Reg0111890,exact_name,"Schierbeck, Christian","Schierbeck, Christian (1835–1865)",1,
HCAP08277,Reg0111900,exact_name,"Schierbeck, Helena, f. Exclus de Dorca","Schierbeck, Helena, f. Exclus de Dorca (1837–1905)",1,
HCAP08278,Reg0111910,exact_name,"Schierbeck, Herman","Schierbeck, Herman (1833–1912)",6,
HCAP08279,Reg0111920,exact_name,"Schierbeck, Wilhelm","Schierbeck, Wilhelm (1837–1878)",1,
HCAP08280,Reg0111930,exact_name,"Schiern, Eigil Waldemar","Schiern, Eigil Waldemar (1818–1865)",1,
HCAP08282,Reg0111950,exact_name,"Schiern, Frederik","Schiern, Frederik (1816–1882)",11,
HCAP08283,Reg0111960,exact_name,"Schiern, Ulrikka, f. Komtesse Knuth","Schiern, Ulrikka, f. Komtesse Knuth (1828–1887)",1,
HCAP08285,,none,"Schiil, Ferdinand von",,0,
HCAP08286,Reg0111990,exact_name,"Schiller, Charlotte von, f. von Lengefeld","Schiller, Charlotte von, f. von Lengefeld (1766–1826)",1,
HCAP08287,Reg0112000,exact_name,"Schiller, Friedrich von","Schiller, Friedrich von (1759–1805)",46,
