entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
Reg001951,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Krøblingen (Eventyrbogen),,,,,,
Reg002044,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Laserne,,,,,,
Reg002154,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Lille Claus og store Claus,,,,,,
Reg000732,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den lille Havfrue,,,,,,
Reg000734,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den lille Idas Blomster,,,,,,
Reg000735,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den lille Pige med Svovlstikkerne,,,,,,
Reg002158,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Lille Tuk,,,,,,
Reg002175,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Loppen og Professoren,,,,,,
Reg002202,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Lygtemændene ere i Byen, sagde Mosekonen",,,,,,
Reg000736,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den lykkelige Familie,,,,,,
Reg002205,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Lykken kan ligge i en Pind,,,,,,
Reg002207,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Lykkens Kalosker,,,,,,
Reg002212,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Lysene,,,,,,
Reg002335,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Marionetspilleren,,,,,,
Reg002437,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Moster,,,,,,
Reg002459,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Nabofamilierne,,,,,,
Reg002481,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Nattergalen,,,,,,
Reg002515,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Nissen hos Spekhøkeren,,,,,,
Reg002516,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Nissen og Madamen,,,,,,
Reg003660,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Noget«,,,,,,
Reg000855,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Det ny Aarhundredes Musa,,,,,,
Reg002599,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Oldefa'er,,,,,,
Reg002602,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Ole Lukøie (Eventyr),,,,,,
Reg000746,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den onde Fyrste,,,,,,
Reg002644,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Paa den yderste Dag,,,,,,
Reg002650,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Paradisets Have,,,,,,
Reg002664,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Pebersvendens Nathue,,,,,,
Reg002669,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Peiter, Peter og Peer",,,,,,
Reg002670,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Pen og Blækhuus,,,,,,
Reg002690,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),"Pigen, som traadte paa Brødet",,,,,,
Reg002716,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Portnerens Søn,,,,,,
Reg002717,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Portnøglen,,,,,,
Reg002735,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Prindsessen paa Ærten,,,,,,
Reg002747,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Psychen,,,,,,
Reg002760,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Qvæk,,,,,,
Reg002792,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Reisekammeraten,,,,,,
