entity_id,label,matched_form,nationality_key,nationality_label,category,position_index,position_type,match_type,referent_hint,description
Reg0109280,"Sacchi, Andrea (1599–1661)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
Reg0109290,"Sachs, Hans (1494–1576)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Digter og Mestersanger.
Reg0109300,"Sachs, Salomo (1772–1855)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Astronom, Matematiker og Arkitekt."
Reg0109390,"Sachsen, Johann, Prins af – (1801–1873)",tysk,tysk,Tysk,national,7,embedded,single,unclear,"Broder til Friedrich August af S., Konge 1854, tysk Digter, Oversætter af Dantes Divina Commedia."
Reg0109550,"Sachsen-Weimar-Eisenach, Bernhard, Prins af – (1792–1862)",hollandsk,hollandsk,Hollandsk,national,8,embedded,single,unclear,"Søn af Carl August af S.-W.-E. (1757–1828), hollandsk General."
Reg0109610,"Sachsen-Weimar-Eisenach, Hermann, Prins af – (1825–1901)",württembergsk,württembergsk,Württembergsk,german_state,7,embedded,single,unclear,"Søn af Bernhard af S.-W.-E., württembergsk Generalløjtnant."
Reg0109650,"Sachsen-Weimar-Eisenach, Marie Alexandrine, Prinsesse af – (1849–1922)",preussisk,preussisk,Preussisk,german_state,10,embedded,single,possible_relation,"Datter af Carl Alexander af S.-W.-E., g. 1876 m. preussisk General Prins Heinrich VII af Reuss-Coestritz."
Reg0109760,"Saint-Ferriol, Vicomte de",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Gesandt i København 1869–1876.
Reg0109770,de Saint-Georges,Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Gesandt i Rio de Janeiro 1851–1867.
Reg0109780,"Saint-Léon, Arthur (1821–1870)",Fransk,fransk,Fransk,national,0,leading,single,subject,"Fransk Balletmester, Koreograf og Violinist."
Reg0109790,"Saint-Lieu, Marquis",Fransk,fransk,Fransk,national,0,leading,single,subject,"Fransk Journalist, Rolighed 28.7.1870."
Reg0109800,"Saint-Priest, Alexis, Greve (1805–1851)",Fransk,fransk,Fransk,national,0,leading,single,subject,"Fransk Gesandt i Kbhvn. 1838–1845, Historiker."
Reg0109820,"Salaj, Gian Giacomo de’ Caprotti, kaldet - (1480–1524)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
Reg0110030,Salomonsen,Dansk,dansk,Dansk,national,0,leading,single,subject,Dansk Tog-Passager i Sverrig 15.9.1865.
Reg0110080,"Salomonsen, Carl (1825–1910)",Norsk,norsk,Norsk,national,0,leading,single,subject,"Norsk Overretssagfører, Christiania."
Reg0110180,"Salter, Miss",Amerikansk,amerikansk,Amerikansk,national,6,embedded,single,unclear,"(af H.C. Andersen kaldet Elton) Amerikansk Guvernante på Holsteinborg, Forfatterinde."
Reg0110190,"Saltza, Anton Fredrik von (1640–1710)",Svensk,svensk,Svensk,national,0,leading,single,subject,Svensk Ritmester.
Reg0110200,"Saltza, Carl Fredrik von, Friherre (1717–1801)",svensk,svensk,Svensk,national,6,embedded,single,unclear,"Søn af Jakob Ludvig von S., svensk Officer, Godsejer, Kammerherre."
Reg0110220,"Saltza, Edvard Fredrik von, Greve (1775–1859)",svensk,svensk,Svensk,national,7,embedded,single,unclear,"Søn af Carl Fredrik v. S., fhv. svensk Hofmarskal, Kammerherre, Besidder af Mern og Bjärka-Säby."
Reg0110230,"Saltza, Ernst Fredrik von (1681–1750)",svensk,svensk,Svensk,national,6,embedded,single,unclear,"Søn af Anton Fredrik von S., svensk Oberstløjtnant."
Reg0110270,"Samwer, Karl (1819–1882)",slesvig-holstensk,slesvigholstensk,Slesvig-holstensk,border_region,0,leading,fixed_compound,subject,"slesvig-holstensk Politiker, 1863–1866 Raadgiver for Hertug Frederik af Augustenborg (Friedrich der Achte)."
Reg0110280,"Sand, Georges (Pseud. f. Aurore Dudevant, f. Dupin) (1804–1876)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Forfatterinde.
Reg0110290,"Sand, Karl Ludwig (1795–1820)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk stud.theol., politisk Sværmer."
Reg0110310,"Sandberg, Johan Gabriel (1782–1854)",Svensk,svensk,Svensk,national,0,leading,single,subject,"Svensk Maler, Professor 1828."
Reg0110320,"Sandeau, Jules (1811–1883)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Forfatter.
Reg0110330,"Sander, Johann Heinrich (1810–1865)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Landskabs- og Marinemaler.
Reg0110340,"Sandholt, Meta Gudmundsdottir (1815–1901)",islandsk,islandsk,Islandsk,national,2,embedded,single,possible_relation,Enke efter islandsk Købmand Árni S.
Reg0110390,"Santarelli, Emilio (1801–1886)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Billedhugger.
Reg0110430,"Santini, Felice (1798–1836)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Operasanger.
Reg0110450,"Saphir, Moritz (1775–1858)",Østrigsk,østrigsk,Østrigsk,national,0,leading,single,subject,Østrigsk humoristisk Forfatter og Kritiker.
Reg0110460,Sappho (ca. 600 f.Chr.),græsk,græsk,Græsk,national,0,leading,single,subject,græsk Digterinde.
Reg0110470,"Saraceni, Carlo (Carlo Veneziano) (1585–1620)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
Reg0110520,"Sarmento, Cristoväo Pedro de Morais, Visconde de Torre de Moncorvo (1788–1851)",portugisisk,portugisisk,Portugisisk,national,0,leading,single,subject,portugisisk Gesandt i London 1839–1848.
Reg0110550,"Sarolta, Signora",ungarsk-italiensk (part: ungarsk),ungarsk,Ungarsk,national,0,leading,hyphen_compound,subject,ungarsk-italiensk Operasangerinde.
Reg0110550,"Sarolta, Signora",ungarsk-italiensk (part: italiensk),italiensk,Italiensk,national,0,leading,hyphen_compound,subject,ungarsk-italiensk Operasangerinde.
Reg0110570,"Sarto, Andrea del (1486–1531)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
Reg0110600,"Sassoferrato, Giambattista Salvi, kaldet - (1609–1685)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
Reg0110640,"Saurmar-Stenzendorf, Roda von, Grevinde, f. Grevinde von Wurmbrand-Stuppenbach (1844–1916)",preussisk,preussisk,Preussisk,german_state,2,embedded,single,possible_relation,g. 1867 m. preussisk Ritmester Joseph Johan v. S.-S.
Reg0110650,"Sauvage, Thomas (1794–1877)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Skuespilforfatter.
Reg0110660,"Savigny, Friedrich Karl von (1779–1861)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Retslærd, 1842–1848 preussisk Minister for Lovgivning."
Reg0110660,"Savigny, Friedrich Karl von (1779–1861)",preussisk,preussisk,Preussisk,german_state,2,embedded,single,unclear,"Tysk Retslærd, 1842–1848 preussisk Minister for Lovgivning."
Reg0110670,"Savigny, Karl Friedrich von (1814–1875)",preussisk,preussisk,Preussisk,german_state,6,embedded,single,unclear,"Søn af F.C.v.S., preussisk Diplomat og Politiker, Gesandt i Dresden 1859–1862."
Reg0110710,"Savoyen, Eugen, Prins af (1663–1736)",Østrigsk,østrigsk,Østrigsk,national,0,leading,single,subject,Østrigsk Feltherre.
Reg0110720,"Saxe, Maurice de, Greve (1616–1750)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Marskal.
Reg0110740,"Saxild, Hans Vilhelm (1813–1891)",argentinsk,argentinsk,Argentinsk,national,2,embedded,single,possible_relation,"dr.med., argentinsk Konsul i København 1863, Generalkonsul 1878."
Reg0110830,"Sayn-Wittgenstein, Nikolaus von, Prins (1812–1864)",russiske,russisk,Russisk,national,4,embedded,single,unclear,Kaptajn i den kejserlige russiske Garde.
Reg0110840,"Sayn-Wittgenstein-Berleburg, Emil, Prins af – (1824–1878)",russisk,russisk,Russisk,national,8,embedded,single,unclear,"Passager på Dampskibet fra Napoli til Genova 1846, 1852 kejserlig russisk Major og Fløj adjudant hos Generalguvernøren i Tiflis, senere Generalløjtnant og Adjudant hos Kejseren."
Reg0111110,"Schaden, Adolf von (1791–1840)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Forfatter.
Reg0111120,"Schadow, Gottfried (1764–1850)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Billedhugger, Tegner og Grafiker."
Reg0111140,"Schaffner, Taliaferro Preston (1818–1881)",Amerikansk,amerikansk,Amerikansk,national,0,leading,single,subject,"Amerikansk Telegraf ingeniør, Jurist, Opfinder."
Reg0111180,"Schall, Karl (1780–1833)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Forfatter.
Reg0111200,"Schaller, Johann (1777–1847)",Østrigsk,østrigsk,Østrigsk,national,0,leading,single,subject,Østrigsk Billedhugger.
Reg0111470,"Schaubert, Eduard",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Arkitekt, Bygningsdirektør i Athen 1831–1844."
Reg0111570,"Scheel, Henrik (1797–1865)",Dansk,dansk,Dansk,national,0,leading,single,subject,"Dansk Generalkonsul i Goteborg 1835–1849, Legationsraad 1849."
Reg0111650,"Scheel-Plessen, Wulff, Lensgreve (1809–1876)",Dansk,dansk,Dansk,national,0,leading,single,subject,"Dansk Legationssekretær i Stockholm 1836, Gesandt i Berlin 1847–1848, i Stockholm 1851–1872."
Reg0111710,"Scheffer, Ary (1795–1858)",Fransk,fransk,Fransk,national,0,leading,single,subject,Fransk Maler.
